Cluster,phase,muscle,n_subjects,Group_Mean_SD,Group_Median_SD,Group_SD_of_SD,Group_SE
0,CoolDown,MTL,34,24.06708101115421,23.580394714638555,11.229837381522024,1.9259012223114833
0,CoolDown,MTR,36,28.507100187544733,23.69148944399946,17.679230288002856,2.9465383813338093
0,CoolDown,SCML,37,31.024143576435986,28.103415774881466,16.97692830628031,2.7909898211081376
0,CoolDown,SCMR,36,37.00968587013323,37.54675940876446,16.79317847215928,2.798863078693213
0,CoolDown,STL,37,26.48766679411769,23.397012306271975,23.747018579230325,3.90398580594697
0,CoolDown,STR,35,13.034959532298158,12.886039386008418,6.034641618110712,1.0200406078616095
0,CoolDown,UTL,36,23.85233130482249,20.699475773161495,12.677432210612803,2.112905368435467
0,CoolDown,UTR,35,19.221149740769988,14.020629083963655,18.812870388640036,3.1799554905230494
0,Warmup,MTL,29,20.789599283462646,17.717715727012322,9.30586776900685,1.7280562623966542
0,Warmup,MTR,30,19.46980306191015,18.002632044774188,7.793322221884262,1.4228594596107638
0,Warmup,SCML,30,40.33375849654243,33.78282051273474,25.274624170015798,4.614493930127646
0,Warmup,SCMR,30,39.42565321544359,34.72918525080833,18.457902740671766,3.369936565100785
0,Warmup,STL,31,21.823663076315206,20.96352739030046,9.401087197130126,1.6884851054206031
0,Warmup,STR,29,20.00632858260273,19.017820140952498,12.785630594769085,2.3742319971025063
0,Warmup,UTL,30,22.38790468841436,21.85471222424144,9.306678556438195,1.6991592602702719
0,Warmup,UTR,29,17.05945939213613,14.201282101750227,10.968221921705547,2.0367476789520653
1,CoolDown,MTL,12,27.975621867517777,26.125739985335418,16.996383593609487,4.906433321510288
1,CoolDown,MTR,13,24.024020278759153,26.045266971152053,8.664895603595637,2.4032096457928125
1,CoolDown,SCML,13,29.911010917999526,20.037533610962146,27.08788727926816,7.512828194568468
1,CoolDown,SCMR,13,42.06445610004671,31.680876701616025,41.492611268921635,11.507979806383993
1,CoolDown,STL,13,32.00944580727431,24.52194932529366,26.883810783586515,7.456227558468686
1,CoolDown,STR,13,13.493755210052138,12.367059942751212,7.429963413566988,2.0607010817259406
1,CoolDown,UTL,13,24.100034855989747,22.850749372492647,9.74499567336838,2.7027755061157244
1,CoolDown,UTR,13,20.3186511066723,15.983192640480075,11.160226265887525,3.0952898498028834
1,Warmup,MTL,12,15.00677241647605,16.121759760256605,5.402797387586899,1.5596532630501516
1,Warmup,MTR,13,14.322955655558124,16.328324738456768,5.5960889190782455,1.5520758107532666
1,Warmup,SCML,13,31.389352421263503,28.33064101575205,19.03285900336218,5.27876531194606
1,Warmup,SCMR,13,34.79820629520565,27.526587543601284,21.94372506984957,6.086094301079019
1,Warmup,STL,13,26.437844822689335,21.563251317676414,11.33379107246294,3.1434280659354714
1,Warmup,STR,13,12.377909358624,9.455515795977922,6.811146690260069,1.88907220280304
1,Warmup,UTL,13,16.449638113559555,15.289867821766371,8.251776779402737,2.288631099370744
1,Warmup,UTR,13,13.330040499011277,11.011464154689405,8.296365281865294,2.3009977249034286
