Variable,Time_Window,Muscle,C0_Median,C1_Median,Difference,p_value,Significant
Delta_SD,40-60s,UTL,1.541460069790821,4.656644562034598,3.1151844922437775,0.06192333989662714,FALSE
Delta_SD,40-60s,UTR,-0.5568781287732829,5.909633130358037,6.46651125913132,0.07413568350390679,FALSE
Delta_SD,40-60s,MTL,1.1391225147702801,4.220632854469105,3.0815103396988253,0.05881905453642531,FALSE
Delta_SD,40-60s,MTR,3.8915104222672525,8.180902206121083,4.28939178385383,0.3342398204663147,FALSE
Delta_SD,40-60s,STL,1.3453687308877198,5.060562195632006,3.715193464744286,0.42612537353407404,FALSE
Delta_SD,40-60s,STR,-4.3530496222099435,1.6431066240291496,5.996156246239093,0.027124527694235206,TRUE
Delta_SD,40-60s,SCML,-11.316811445174414,-6.209825265720751,5.1069861794536635,0.3411546124947197,FALSE
Delta_SD,40-60s,SCMR,-0.7206743552369765,-1.668438009432501,-0.9477636541955246,0.9230751007444902,FALSE
