phase,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max,SE,CI_95_Lower,CI_95_Upper
WU,60,1.5456852001184536,11.622300307907784,0.0,-3.114754098360656,3.1535806729939604,6.268334771354617,-20.327868852459016,44.91803278688525,1.5004325179049394,-1.3951625349752277,4.486532935212135
ST,59,3.040811529751489,14.128543778477136,0.0,-0.5084745762711864,4.745762711864407,5.254237288135593,-20.0,60.0,1.8393797282648328,-0.5643727376475831,6.645995797150562
VO2,57,-0.06971139479576201,16.809656108625003,0.0,-4.090909090909091,6.101694915254237,10.192604006163329,-41.69491525423729,46.779661016949156,2.2264933427009885,-4.433638346489699,4.294215556898175
WanT,59,-2.0067211685770916,17.20214747713964,-0.6666666666666666,-8.80184331797235,6.696329254727475,15.498172572699826,-60.0,39.354838709677416,2.2395288465803365,-6.396197707874551,2.3827553707203677
CD,60,-0.6026164664453222,16.622768996506213,0.32786885245901637,-9.836065573770492,4.351694915254237,14.187760489024729,-40.36363636363637,59.01639344262295,2.1459902497107177,-4.808757355878329,3.6035244229876846
