Comparison,MeanDiff,t_statistic,P_value_raw,P_value
ST - WanT,-5.193556370836245,10.381160542428841,5.309520203816338e-25,5.3095202038163384e-24
WU - WanT,-4.073234945509089,8.260763296173781,1.8102756547090485e-16,1.8102756547090483e-15
ST - CD,-3.3942949776709397,7.80067596921343,7.056268667257557e-15,7.056268667257556e-14
ST - VO2,-3.1443343360755263,7.161160136098878,8.932801109762777e-13,8.932801109762778e-12
WU - CD,-2.2739735523437834,5.312461439398548,1.1143256943619628e-07,1.114325694361963e-06
WU - VO2,-2.02401291074837,4.681249377631054,2.9110613290744374e-06,2.9110613290744375e-05
VO2 - WanT,-2.049222034760719,3.451871027924897,0.0005617866105482496,0.005617866105482497
WU - ST,1.1203214253271563,-3.063659387103265,0.0021948853285275846,0.021948853285275845
WanT - CD,1.7992613931653056,-3.0448859706895472,0.002338974899002022,0.02338974899002022
