phase,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max,SE,CI_95_Lower,CI_95_Upper
WU,60,-0.9896425630559305,14.587500965975494,-0.4098360655737705,-5.1229508196721305,2.123557984213722,7.2465088038858525,-42.295081967213115,57.0,1.8832382768002565,-4.680789585584433,2.701504459472572
ST,57,1.5743427988509917,22.015666074596563,0.0,-7.966101694915254,8.64406779661017,16.610169491525426,-49.152542372881356,90.0,2.9160462078142304,-4.1411077684649005,7.289793366166883
VO2,54,4.91432241928002,25.505444643658873,2.68361581920904,-8.441971383147854,10.635593220338983,19.077564603486834,-39.83050847457627,90.0,3.470851391098142,-1.888546307272338,11.717191145832377
WanT,56,3.067755664390815,27.155642956626732,1.4516129032258065,-12.519466073414906,15.967741935483872,28.487208008898776,-52.96296296296296,90.0,3.6288254307592203,-4.044742179897257,10.180253508678886
CD,59,-1.2066712418213261,27.21888902821119,-0.8620689655172413,-12.148907103825136,5.693157519600855,17.84206462342599,-46.22950819672131,83.39285714285714,3.54359752069071,-8.152122382375119,5.738779898732465
