Muscle,Friedman_Chi2,df,p_value,n_subjects,Kendalls_W,Effect_Size
UTL,107.43859649122807,4,2.5594445160489046e-22,57,0.47122191443521083,Medium
UTR,80.54433713784022,4,1.3356009057671356e-16,57,0.35326463656947465,Medium
MTL,112.92631578947369,4,1.728827190947722e-23,57,0.4952908587257618,Medium
MTR,114.24285714285715,4,9.05346971824168e-24,56,0.5100127551020408,Large
STL,55.747368421052634,4,2.265243846740375e-11,57,0.24450600184672208,Small
STR,29.5,4,6.186385084132637e-6,56,0.13169642857142858,Small
SCML,105.37543859649122,4,7.045133058240576e-22,57,0.4621729763004001,Medium
SCMR,86.9,4,5.994825232550146e-18,56,0.3879464285714286,Medium
