Subject,PC1
541,-0.5171802484759768
560,-0.5821152790769766
570,-0.355662554878972
571,-0.9603943804436977
572,0.5912174997801347
573,-0.6289524152236126
574,0.2683733169830266
575,-0.8096296717063924
577,-1.7025487537808237
578,-0.5935076685444013
579,-0.026622420199726937
580,-0.15892716919578376
581,0.18971836329850972
582,0.13808177707192315
583,0.7870244029105605
584,0.22255764143733395
585,-1.4522443286156494
586,0.04215009615061274
587,1.106569983732473
588,-0.20761110433120208
590,-0.5077953809723963
591,-0.7490917902133674
594,1.320511518820993
595,-1.4071886478323519
596,1.2460115358939938
597,1.7584899772276397
598,-1.2349217731703672
600,-0.35216608858246107
601,0.030053432588572293
602,-1.24619998633523
603,0.08316525649931934
604,-1.1398803871208179
605,0.6412812494963429
606,0.6742591486246661
607,1.5133338176966742
608,0.30826517893773997
609,-1.2570724625776397
610,0.46128556277254096
611,-0.6692967712825526
612,0.3493720197250742
613,0.6833065969645234
614,1.0511141544090077
615,4.365010310591481
616,3.8411384020764956
617,-0.9833992854303514
618,-0.5621431260975777
619,-0.1633807481815373
620,0.03727537854826822
621,2.264253867448534
622,0.08833845806718651
623,-1.8608995535762338
624,-0.38097592254187396
625,-0.9085934918185969
626,-0.06281802999087252
627,-0.2176709598721285
628,-1.022509186424238
629,-0.7164527078446445
630,-1.1847151451139044
631,0.8510003001543792
632,-0.29059180845564764
