,horiz_mean_ST,sag_slope_100W,sag_drift_WU_CD,sag_peak_WU
horiz_mean_ST,1.0,-0.14497177609936945,-0.10611233772784563,0.09564151019853041
sag_slope_100W,-0.14497177609936945,1.0,0.05071998204038536,0.32734874248297496
sag_drift_WU_CD,-0.10611233772784563,0.05071998204038536,1.0,-0.06609822114758768
sag_peak_WU,0.09564151019853041,0.32734874248297496,-0.06609822114758768,1.0
