subject,phase,angle,muscle,r,p,n
subject_541,Second_threshold,Frontal,STR,-0.007203467696154327,0.9568174922067837,59
subject_541,Second_threshold,Frontal,UTL,-0.4280312611723298,0.0007202328052758041,59
subject_541,Second_threshold,Frontal,UTR,-0.22657629904794663,0.08441055228514273,59
subject_541,Second_threshold,Horizontal,MTL,-0.4322379692854747,0.0006292924975659456,59
subject_541,Second_threshold,Horizontal,MTR,-0.578718614432219,1.577749270310117e-06,59
subject_541,Second_threshold,Horizontal,SCML,-0.21852030669432332,0.09636545933243247,59
subject_541,Second_threshold,Horizontal,SCMR,-0.3025665784998323,0.01984756495636842,59
subject_541,Second_threshold,Horizontal,STL,-0.33138244311886395,0.01035259128826096,59
subject_541,Second_threshold,Horizontal,STR,-0.15848725540467407,0.23056217507898713,59
subject_541,Second_threshold,Horizontal,UTL,-0.05282908513489136,0.6910848130340334,59
subject_541,Second_threshold,Horizontal,UTR,-0.32898112106727795,0.010954911138557248,59
subject_541,Vo2max,Sagittal,MTL,0.030308595087183594,0.819742695929813,59
subject_541,Vo2max,Sagittal,MTR,-0.01608357050617054,0.9037664887665412,59
subject_541,Vo2max,Sagittal,SCML,-0.3573411953793179,0.005462012033514072,59
subject_541,Vo2max,Sagittal,SCMR,-0.08842389651614649,0.5054296317539405,59
subject_541,Vo2max,Sagittal,STL,0.09339193273916362,0.48171409989467256,59
subject_541,Vo2max,Sagittal,STR,-0.045713081505315833,0.7309998151156067,59
subject_541,Vo2max,Sagittal,UTL,-0.1104405174757044,0.40500786334785305,59
subject_541,Vo2max,Sagittal,UTR,0.11312111256006616,0.3936307245901639,59
subject_541,Vo2max,Frontal,MTL,0.13107984695688424,0.32237999002108503,59
subject_541,Vo2max,Frontal,MTR,0.1927644808189474,0.14354134891029421,59
subject_541,Vo2max,Frontal,SCML,-0.2158962185172211,0.10053193473112061,59
subject_541,Vo2max,Frontal,SCMR,0.2004750600517053,0.12790067222746573,59
subject_541,Vo2max,Frontal,STL,0.12336926772412635,0.35190285335310817,59
subject_541,Vo2max,Frontal,STR,-0.007710579232757897,0.9537807223394827,59
subject_541,Vo2max,Frontal,UTL,0.18505390158618948,0.16056757089996215,59
subject_541,Vo2max,Frontal,UTR,0.2081856392844632,0.11358547733901377,59
subject_541,Vo2max,Horizontal,MTL,,,59
