pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
10,Frontal,MTL_IMF,0.012395818694242925,0.1373109348233649,49,0.019615847831909273
10,Frontal,MTR_IMF,0.023864031922823464,0.14281642656987725,49,0.020402346652839607
10,Frontal,SCML_IMF,0.002156389181244029,0.1597735404028111,53,0.021946583613808787
10,Frontal,SCMR_IMF,-0.00322770015099292,0.1323045518762669,54,0.018004369041357816
10,Frontal,STL_IMF,-0.012114206585983242,0.12193379079145412,54,0.016593087213463156
10,Frontal,STR_IMF,-0.000731867262092322,0.1393130221185769,52,0.019319240176476075
10,Frontal,UTL_IMF,0.013328104557556805,0.12532690952459333,52,0.017379715326398364
10,Frontal,UTR_IMF,0.03918707527618417,0.156841609469202,53,0.02154385192730963
10,Horizontal,MTL_IMF,-0.012455797858948302,0.1222523363311451,42,0.018863945036588045
10,Horizontal,MTR_IMF,-0.025877114831548483,0.12473292887115116,43,0.01902159332624902
10,Horizontal,SCML_IMF,-0.04818341344530506,0.15290159970535963,44,0.023050783457626983
10,Horizontal,SCMR_IMF,-0.006680027431296572,0.1461439885534516,46,0.021547755552599798
10,Horizontal,STL_IMF,-0.015386591718092974,0.12784102384746487,45,0.019057414642406876
10,Horizontal,STR_IMF,0.0009942327414756388,0.1099796593931981,44,0.016580057489923816
10,Horizontal,UTL_IMF,-0.007048614871891079,0.13551511269572036,45,0.0202014002644117
10,Horizontal,UTR_IMF,0.008365846596469181,0.1340817550136882,45,0.019987727916872002
10,Sagittal,MTL_IMF,0.03628247467754747,0.1373979425418012,53,0.018873058872931385
10,Sagittal,MTR_IMF,0.052087480018983966,0.1460033359970792,53,0.02005510057094873
10,Sagittal,SCML_IMF,0.05553099385710166,0.16641146482796382,57,0.022041736975122954
10,Sagittal,SCMR_IMF,0.0029499722629045574,0.15333740377650887,58,0.020134187513864327
10,Sagittal,STL_IMF,0.021032990647644988,0.12330018719143641,58,0.016190107751043566
10,Sagittal,STR_IMF,-0.02864584073700936,0.12324680169841344,56,0.016469546641826135
10,Sagittal,UTL_IMF,0.019175757174808544,0.1259998559602586,55,0.01698981711175893
10,Sagittal,UTR_IMF,-0.002508498949117634,0.17266745663157437,57,0.022870363332064544
20,Frontal,MTL_IMF,0.01803152493322626,0.10777912753912275,40,0.01704137636247032
