angle,muscle,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,MTL,0.020601514855973804,0.027024844140668358,0.2778235079740671,-0.4986729624033178,0.4780007117893635,0.38798804461042247,58,1.0,False
Sagittal,MTR,-0.011133629013163875,-0.026880224467789853,0.2791098551459242,-0.5693091865373443,0.5107978052905315,0.6891250471318024,59,1.0,False
Sagittal,SCML,0.18273948626178857,0.23013435650441968,0.34644640831053053,-0.5479986830723801,0.7005476781954258,0.00021687032138213117,59,0.005204887713171148,True
Sagittal,SCMR,0.1498145061720791,0.20333559609629404,0.32264896137417853,-0.5134858635537368,0.6341554933148427,0.0009864288727982162,58,0.02367429294715719,True
Sagittal,STL,-0.04916276915809093,-0.046874300142479806,0.2950682926377144,-0.5882285601371241,0.4532708794321367,0.2607380468047288,59,1.0,False
Sagittal,STR,-0.054597911895511976,-0.1044027011246413,0.3147990853909296,-0.5916429457232246,0.5703826725374679,0.20006774130146476,58,1.0,False
Sagittal,UTL,0.07263046468032629,0.06612647340337502,0.3269693278534521,-0.6770941073268921,0.6180584155274542,0.09529534318949023,59,1.0,False
Sagittal,UTR,0.08501596718634323,0.1124940636853993,0.3359993450632835,-0.612994785855859,0.5855038243930596,0.04797726967186758,59,1.0,False
Frontal,MTL,0.04254165361504184,-0.045944792632623195,0.3138831741741144,-0.4845203102325322,0.6118299858416604,0.33041018935357447,57,1.0,False
Frontal,MTR,0.047095395755283584,-0.0019689792252690344,0.2811654462043313,-0.4471423104513386,0.5398211143853461,0.33508487023558686,58,1.0,False
Frontal,SCML,0.07289945149901837,0.12817402747636844,0.3828513125164289,-0.6253518978171453,0.6197352770103438,0.15995106475278997,58,1.0,False
Frontal,SCMR,0.10365277500066594,0.1498969073511112,0.3491039714711904,-0.6537514826894253,0.5863366338282515,0.017331918405621413,57,0.4159660417349139,False
Frontal,STL,0.05251139949024453,0.031029925013267068,0.2836420114504479,-0.4889357818847895,0.5312068347796706,0.20006774130146476,58,1.0,False
Frontal,STR,0.05890949986501587,0.03023098035862864,0.29223700486356086,-0.4280882463982878,0.585156246675541,0.18853277760451548,57,1.0,False
Frontal,UTL,0.08519522684095311,0.10935231131299608,0.37776126236684154,-0.6667999990909161,0.6834585550101003,0.07817340286348581,58,1.0,False
Frontal,UTR,0.07160233481507018,0.08842523136505086,0.3718575640580099,-0.5646795681665415,0.6095760788609367,0.1531585782839413,58,1.0,False
Horizontal,MTL,-0.017365436969719858,-0.04707044148136671,0.23982369836170922,-0.42919694452777574,0.46337198654420875,0.481961704471497,57,1.0,False
Horizontal,MTR,-0.006674895240963341,-0.011279353549788911,0.2293115124143039,-0.46840225100748,0.41644375100800474,0.7953508100036336,58,1.0,False
Horizontal,SCML,-0.02813199054354522,-0.060191711546186355,0.2881395230383786,-0.5456593977196664,0.5188820152239259,0.35889732987680434,58,1.0,False
Horizontal,SCMR,-0.05199510757075496,-0.03172821610817251,0.25442149426580746,-0.550418828572826,0.4115887630288269,0.16320167118202134,57,1.0,False
Horizontal,STL,0.012892466865419464,0.021178167718741748,0.23421978731613147,-0.4954712399988159,0.41936006777225304,0.5079899655682842,58,1.0,False
Horizontal,STR,0.009743301955931993,0.012490899066671949,0.22410272718120808,-0.4569121975663746,0.4204867981476708,0.5224396723947882,57,1.0,False
Horizontal,UTL,-0.02337095695594748,-0.0326054695925526,0.27006661310525076,-0.49514291728043197,0.4896597390137847,0.35485637865822495,58,1.0,False
Horizontal,UTR,-0.014175327100727369,-0.02705560859427259,0.25737536070811146,-0.4719278749308433,0.4500471265728318,0.5484849298190492,58,1.0,False
