Fitness_Measure,Phase,Muscle_Pair,spearman_r,p_value,n,significant,^ variance explained ,% of varience explained 
WanT,Warmup,SCMR_UTR,0.096622876,0.466613159,59,FALSE,,
WanT,Warmup,STL_STR,0.07718724,0.561193979,59,FALSE,,
WanT,Warmup,UTL_MTL,0.124272277,0.344131523,60,FALSE,,
WanT,Warmup,UTL_UTR,0.050409193,0.702092473,60,FALSE,,
WanT,Warmup,UTR_MTR,0.036561843,0.783377751,59,FALSE,,
WanT,SecondThreshold,MTL_MTR,-0.07405892,0.577218325,59,FALSE,,
WanT,SecondThreshold,SCML_MTL,-0.165215105,0.211115789,59,FALSE,,
WanT,SecondThreshold,SCML_SCMR,0.065405323,0.625697407,58,FALSE,,
WanT,SecondThreshold,SCML_STL,-0.133037176,0.315143668,59,FALSE,,
WanT,SecondThreshold,SCML_UTL,-0.105652327,0.425799624,59,FALSE,,
WanT,SecondThreshold,SCMR_MTR,-0.312905709,0.016778005,58,TRUE,0.097909983,9.790998284
WanT,SecondThreshold,SCMR_STR,0.07902243,0.559016061,57,FALSE,,
WanT,SecondThreshold,SCMR_UTR,-0.029656976,0.825098151,58,FALSE,,
WanT,SecondThreshold,STL_STR,0.128903247,0.334866158,58,FALSE,,
WanT,SecondThreshold,UTL_MTL,-0.121259061,0.360264063,59,FALSE,,
WanT,SecondThreshold,UTL_UTR,0.112929624,0.394437146,59,FALSE,,
WanT,SecondThreshold,UTR_MTR,-0.069236615,0.602322385,59,FALSE,,
WanT,VO2max,MTL_MTR,-0.245293245,0.058887041,60,FALSE,,
WanT,VO2max,SCML_MTL,-0.258076172,0.046495971,60,TRUE,0.06660331,6.660331034
WanT,VO2max,SCML_SCMR,-0.090777572,0.494120048,59,FALSE,,
WanT,VO2max,SCML_STL,-0.176904588,0.176323003,60,FALSE,,
WanT,VO2max,SCML_UTL,-0.00783649,0.952613472,60,FALSE,,
WanT,VO2max,SCMR_MTR,-0.520144384,2.42E-05,59,TRUE,0.27055018,27.05501797
WanT,VO2max,SCMR_STR,-0.05396176,0.687457539,58,FALSE,,
WanT,VO2max,SCMR_UTR,-0.141544038,0.284910552,59,FALSE,,
WanT,VO2max,STL_STR,0.136458624,0.302746035,59,FALSE,,
WanT,VO2max,UTL_MTL,-0.032624252,0.804555128,60,FALSE,,
WanT,VO2max,UTL_UTR,-0.194550584,0.136341261,60,FALSE,,
WanT,VO2max,UTR_MTR,-0.127690321,0.330918218,60,FALSE,,
WanT,WanT,MTL_MTR,-0.072278241,0.586432265,59,FALSE,,
WanT,WanT,SCML_MTL,-0.130554867,0.324338665,59,FALSE,,
WanT,WanT,SCML_SCMR,-0.155488556,0.243819669,58,FALSE,,
WanT,WanT,SCML_STL,-0.244655202,0.061829753,59,FALSE,,
WanT,WanT,SCML_UTL,-0.043548152,0.743291158,59,FALSE,,
WanT,WanT,SCMR_MTR,-0.04863942,0.71692031,58,FALSE,,
WanT,WanT,SCMR_STR,-0.05053239,0.708926969,57,FALSE,,
WanT,WanT,SCMR_UTR,-0.117954714,0.377860544,58,FALSE,,
WanT,WanT,STL_STR,-0.15161211,0.255918698,58,FALSE,,
WanT,WanT,UTL_MTL,-0.070407716,0.596181942,59,FALSE,,
WanT,WanT,UTL_UTR,-2.92E-04,0.998247105,59,FALSE,,
WanT,WanT,UTR_MTR,0.061521825,0.643446012,59,FALSE,,
WanT,Cooldown,MTL_MTR,-0.140695559,0.283611315,60,FALSE,,
WanT,Cooldown,SCML_MTL,-0.21680955,0.096126734,60,FALSE,,
WanT,Cooldown,SCML_SCMR,-0.235799567,0.072192256,59,FALSE,,
WanT,Cooldown,SCML_STL,0.112517543,0.392027783,60,FALSE,,
WanT,Cooldown,SCML_UTL,-0.311375418,0.015447939,60,TRUE,0.096954651,9.695465064
WanT,Cooldown,SCMR_MTR,-0.398357473,0.001779179,59,TRUE,0.158688676,15.86886763
WanT,Cooldown,SCMR_STR,-0.006091464,0.963803044,58,FALSE,,
WanT,Cooldown,SCMR_UTR,-0.250208241,0.05596759,59,FALSE,,
WanT,Cooldown,STL_STR,-0.196489897,0.135815068,59,FALSE,,
WanT,Cooldown,UTL_MTL,-0.384932823,0.002390173,60,TRUE,0.148173278,14.81732784
WanT,Cooldown,UTL_UTR,-0.110377792,0.401151267,60,FALSE,,
WanT,Cooldown,UTR_MTR,-0.196468023,0.132445613,60,FALSE,,
