Time (s),Period,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL,angle sagital,angle frontal,angle horzintal
0.9997941,Warmup,4.292470834239608,7.717365690494047,27.44290507474352,7.103451751476471,14.60602642131209,10.22322143724498,7.307473490657109,4.208881123483622,5.0,10.0,20.0
1.999588,Warmup,4.029975719904908,7.389353008499544,28.60549923069408,6.59338925056004,16.45262458845614,12.52145139308707,6.897268007950688,4.312526370317383,5.0,20.0,20.0
2.999382,Warmup,3.87730684873621,7.108780722874218,29.82004732202172,6.009296697970246,16.05883255501061,11.23408271416564,6.539507824737566,3.936123593723724,5.0,20.0,20.0
3.99997,Warmup,4.334173821434638,7.58963999680766,26.62444888744072,6.404841807230789,16.82410992083105,12.67736958074143,7.239602004600021,4.186368142056556,5.0,20.0,20.0
4.999764,Warmup,3.908230718035755,7.495612569786147,27.26779908298835,6.359736660919984,17.29376344869429,15.8683593969925,6.667841655227763,4.246925237004318,5.0,20.0,20.0
5.999559,Warmup,4.190313825053869,7.285927533789757,24.45476969551237,5.993730224778137,16.52476099433085,17.46960217642493,6.719922733681316,4.156118022809053,5.0,20.0,20.0
6.999353,Warmup,3.977630222034322,7.836781955745365,26.41065821628693,7.086283805695685,14.8203961000046,11.43254878411938,6.758445171008685,3.966670901110547,0.0,10.0,20.0
7.999941,Warmup,4.374412230603479,7.793310297387211,26.46011545951611,7.379244042649226,14.44363505301078,11.51303674437799,7.475816829667962,4.464251492252761,5.0,10.0,20.0
8.999735,Warmup,4.239454462809003,8.140925629240778,22.50767133785484,6.99566779279944,15.83754233589417,12.46562769646949,7.514277604674717,4.183225604510437,5.0,10.0,20.0
9.999529,Warmup,4.381245247298378,9.358776582815679,9.658632143261425,8.565555893885255,27.37169445493569,13.18786265544688,9.735972716031885,4.07447575893866,0.0,10.0,20.0
10.99932,Warmup,4.200334654516787,9.780568689483138,6.118508787654448,8.697390276323036,30.07383665286922,12.3044697576958,9.80761666938072,4.569055739928218,0.0,0.0,20.0
11.99991,Warmup,4.605538914062564,8.521908220585875,6.104115188576229,8.292429358164636,24.1765557402335,12.55880466866529,8.29005296693964,4.272764338942054,0.0,30.0,20.0
12.99971,Warmup,4.496425473362574,7.126915523994132,5.534427526016662,7.959530749784788,20.6531050405196,12.27335095007213,7.772008132978802,4.434900243633818,0.0,50.0,0.0
13.9995,Warmup,4.580665845361194,8.166162876278838,5.530920234865862,8.349895135932407,14.28953682457318,12.42884772230833,7.299304573378428,4.738790992195339,-10.0,80.0,0.0
14.99929,Warmup,4.333019649147984,9.290546339833377,5.634169964460485,7.792603314099022,14.71700347825007,12.26320304159569,7.926285959929189,5.221641264012537,-10.0,90.0,0.0
15.99988,Warmup,4.738842845107639,8.917137452071117,6.581964472471229,8.443085444517115,18.83297280357525,12.69410989459568,8.15391546542144,4.943512763294898,5.0,80.0,0.0
16.99968,Warmup,4.519081669683103,9.583442707484663,9.083599247412925,9.718659823623483,15.81459779888884,13.99070398151795,9.242680970801812,4.521163164719812,5.0,90.0,-20.0
17.99947,Warmup,4.900117938704472,8.870962618837815,6.346109664434997,8.933832561597194,15.30585354499838,14.39755059724425,8.469465271867152,4.995004734729675,5.0,90.0,-20.0
18.99926,Warmup,4.537046565834858,7.710786521430493,6.805463219369346,8.333618427565312,29.68986276821557,12.25847172495783,7.961240631016905,4.593541963192734,0.0,100.0,-20.0
19.99985,Warmup,4.325571834760989,7.871415225881544,13.02400698542955,8.42938549110925,23.41393637741429,11.56965850060498,7.095862524339797,4.228403578389689,5.0,100.0,-20.0
20.99965,Warmup,4.119993056994663,8.275693918808745,37.05717502370779,8.010495028243398,17.93539304420865,10.57883684157261,8.426066651987806,5.484064231369151,10.0,100.0,-20.0
21.99944,Warmup,4.584830451332088,8.301654729882108,35.76524846977804,8.912309688119155,14.95050600436263,12.88336383644816,8.563467292696243,5.688409993840246,10.0,90.0,-20.0
22.99924,Warmup,4.534492028200129,9.109446324935085,23.35620747172093,9.187909945914033,17.17629455425965,12.36728484889546,7.904713367081665,4.563257738946005,10.0,100.0,-20.0
23.99982,Warmup,4.165624384126105,9.238521488925576,21.94518285463074,8.769503228827716,18.07933567378608,13.35706235889724,8.664858676945784,4.503469676532966,10.0,100.0,-20.0
24.99962,Warmup,4.443066661857697,10.39842582171459,16.34850064735047,10.25037600954905,16.42762908622294,13.92031578920077,8.8776660836569,4.023164045017419,5.0,100.0,-20.0
25.99941,Warmup,4.355312115004693,9.835716183687156,26.74396653038322,9.868162616897319,16.68827952542919,14.26465026456548,11.34521937334775,4.529287880788157,5.0,100.0,-20.0
26.9992,Warmup,4.59400365822973,9.346255216989947,23.63804226346696,10.33207058399952,16.84769946537626,13.47108909528771,11.7177461942758,4.630093411432378,5.0,100.0,-20.0
27.99979,Warmup,4.613147501853958,9.867554996377576,25.41398918201855,9.670070010766485,15.54183257820941,13.37271788470012,10.18391407893627,4.6381974271204,5.0,100.0,-20.0
28.99959,Warmup,4.97287246960324,8.72752001794211,11.8211452899887,9.235313495316884,16.55294458562636,12.60407161824328,10.71889892551355,4.835977266302497,10.0,100.0,-20.0
