Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,2536.269407176782,4,634.0673517941955,9.03539668286272,8.777038123556031e-07,3.4174451439577115e-05,0.05586356195304416,0.6699752489528633,False,0.2661022193533655,6.261889939060058e-12
Error,15719.407989168609,224,70.17592852307415,,,,,,,,
