Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,847.6730231326569,4,211.91825578316423,2.32882430936385,0.05711178877281076,0.10719932665652987,0.01720220028610459,0.4580480447873122,False,0.08550989489689569,6.969016248408076e-24
Error,20019.55067406161,220,90.99795760937096,,,,,,,,
