Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,18608.958976949514,4,4652.2397442373785,30.273050433234427,3.8401939482311156e-20,8.472174987999158e-12,0.17943390642757095,0.5313877801695819,False,0.15792187646877565,1.3713652468241254e-17
Error,34423.412500417544,224,153.67594866257832,,,,,,,,
