subject,muscle,phase,time,value
subject_598,SCMR,WanT,21.99944,676.1919337699866
subject_573,SCMR,WanT,22.99924,667.9322610127203
subject_574,SCMR,Cooldown,22.99924,462.54292302623526
subject_574,SCMR,Warmup,22.99924,461.8173145100623
subject_579,SCMR,WanT,22.99924,646.2549356893663
subject_585,SCMR,WanT,22.99924,601.8621703757315
subject_573,SCMR,WanT,23.99982,443.261877935718
subject_574,SCMR,Warmup,23.99982,400.1484211100694
subject_579,SCMR,WanT,23.99982,444.57701178599496
subject_585,SCMR,WanT,23.99982,728.2468809867364
subject_585,SCMR,WanT,24.99962,841.2208778913896
subject_573,SCMR,WanT,25.99941,469.79137211986057
subject_579,SCMR,Warmup,25.99941,569.420915062551
subject_585,SCMR,WanT,25.99941,667.5752635504414
subject_585,SCMR,WanT,26.9992,613.812890028938
subject_573,SCMR,WanT,27.99979,558.1507343932345
subject_585,SCMR,WanT,27.99979,502.9068956919255
subject_573,SCMR,WanT,28.99959,456.1198907929154
subject_574,SCMR,Warmup,28.99959,410.81344545216456
subject_585,SCMR,WanT,28.99959,556.9184800820303
subject_573,SCMR,WanT,29.99938,449.56903285175207
subject_573,SCMR,WanT,30.99997,557.6908530933292
subject_574,SCMR,Warmup,32.99956,440.9467810995058
subject_574,SCMR,Cooldown,33.99935,451.8959434225367
subject_574,SCMR,Cooldown,37.99932,422.3651817820489
subject_574,SCMR,Warmup,38.99991,450.447134813381
subject_574,SCMR,Cooldown,39.99971,528.5837539522435
subject_574,SCMR,Warmup,42.99988,448.69378854039695
subject_598,SCMR,Cooldown,54.99979,697.7655057343583
subject_574,SCMR,Warmup,59.99956,422.4178681786505
subject_574,STL,Warmup,13.9995,521.9361343411492
subject_604,STL,WanT,14.99929,404.3649468210351
subject_623,STR,Cooldown,11.99991,510.6829219493954
subject_623,STR,Cooldown,13.9995,493.9044963788083
subject_623,STR,Cooldown,15.99988,953.9895680569052
subject_623,STR,Cooldown,16.99968,817.8922813346848
subject_623,STR,Cooldown,17.99947,498.9122873464348
subject_623,STR,Cooldown,20.99965,540.5733471453575
subject_623,STR,Cooldown,25.99941,795.5760653155928
subject_623,STR,Cooldown,26.9992,679.4002419373179
subject_623,STR,Cooldown,27.99979,1078.0632971426123
subject_623,STR,Cooldown,30.99997,912.2203549399444
subject_623,STR,Cooldown,32.99956,560.3966040731176
subject_623,STR,Cooldown,33.99935,887.8061952466044
subject_623,STR,Cooldown,35.99973,1116.971721422871
subject_623,STR,WanT,38.99991,668.3110302038923
subject_623,STR,WanT,39.99971,604.2741892970188
subject_623,STR,WanT,40.9995,721.9120118662105
subject_623,STR,WanT,41.99929,413.3277334489669
subject_623,STR,WanT,42.99988,519.1027484827736
