Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,1.1660020923342045,4,0.2915005230835511,12.612910426976487,2.745746533583829e-09,4.5090067991909017e-07,0.10820667713809702,0.6923864036800751,False,0.42099248331809813,2.656666601418686e-07
Error,5.269372176060214,228,0.02311128147394831,,,,,,,,
