Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.6115859070313813,0.2438663623923826,0.6598527112946382,0.22507279364160404,True,False,646.0,two-sided,0.15267757184288874,1.0,bonf,-0.20430970634603077
phase,Cooldown,VO2max,0.6115859070313813,0.2438663623923826,0.5762304183947347,0.231151949679133,True,False,639.0,two-sided,0.13734422463298826,1.0,bonf,0.14780748248142894
phase,Cooldown,WanT,0.6115859070313813,0.2438663623923826,0.5716867093327593,0.2152990300008011,True,False,671.0,two-sided,0.3021324681142814,1.0,bonf,0.17229058529186891
phase,Cooldown,Warmup,0.6115859070313813,0.2438663623923826,0.7685731715261658,0.14175676729511466,True,False,246.0,two-sided,4.061294691511189e-06,4.06129469151119e-05,bonf,-0.7817928498499596
phase,SecondThreshold,VO2max,0.6598527112946382,0.22507279364160404,0.5762304183947347,0.231151949679133,True,False,387.0,two-sided,0.00048674573484871987,0.004867457348487199,bonf,0.36409115362156924
phase,SecondThreshold,WanT,0.6598527112946382,0.22507279364160404,0.5716867093327593,0.2152990300008011,True,False,508.0,two-sided,0.011518040798869334,0.11518040798869333,bonf,0.39763090203688145
phase,SecondThreshold,Warmup,0.6598527112946382,0.22507279364160404,0.7685731715261658,0.14175676729511466,True,False,448.0,two-sided,0.0026707897756390194,0.026707897756390195,bonf,-0.5741562339954753
phase,VO2max,WanT,0.5762304183947347,0.231151949679133,0.5716867093327593,0.2152990300008011,True,False,823.0,two-sided,0.9809837240598929,1.0,bonf,0.020205451307648333
phase,VO2max,Warmup,0.5762304183947347,0.231151949679133,0.7685731715261658,0.14175676729511466,True,False,231.0,two-sided,2.2741432753981024e-06,2.2741432753981024e-05,bonf,-0.9964263363953867
phase,WanT,Warmup,0.5716867093327593,0.2152990300008011,0.7685731715261658,0.14175676729511466,True,False,217.0,two-sided,1.3073603564132472e-06,1.3073603564132472e-05,bonf,-1.0729097897221191
