Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,0.6576406191585468,4,0.1644101547896367,6.82292936877684,3.404341501459726e-05,0.000225875114577,0.058821800154672,0.7529588012089606,False,0.5267623819644176,8.173401315634265e-05
Error,5.30127634315587,220,0.024096710650708498,,,,,,,,
