.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,Muscle_Pair
CCI,SecondThreshold,WanT,54,54,2.654586358468517,53,0.011,0.105,ns,SCMR_MTR
CCI,SecondThreshold,Cooldown,54,54,1.4309833867612853,53,0.158,1,ns,SCMR_MTR
CCI,VO2max,WanT,54,54,0.8078596304952012,53,0.423,1,ns,SCMR_MTR
CCI,VO2max,Cooldown,54,54,-0.1891781089023095,53,0.851,1,ns,SCMR_MTR
CCI,WanT,Cooldown,54,54,-1.052550830805049,53,0.297,1,ns,SCMR_MTR
CCI,Warmup,SecondThreshold,54,54,-2.8400555648888726,53,0.006,0.064,ns,SCMR_STR
CCI,Warmup,VO2max,54,54,-3.9968942457496195,53,2e-4,0.002,**,SCMR_STR
CCI,Warmup,WanT,54,54,-1.3886119731710809,53,0.171,1,ns,SCMR_STR
CCI,Warmup,Cooldown,54,54,0.22267558874497692,53,0.825,1,ns,SCMR_STR
CCI,SecondThreshold,VO2max,54,54,-1.6638848085943212,53,0.102,1,ns,SCMR_STR
CCI,SecondThreshold,WanT,54,54,0.963670419971405,53,0.34,1,ns,SCMR_STR
CCI,SecondThreshold,Cooldown,54,54,2.8787949120329284,53,0.006,0.057,ns,SCMR_STR
CCI,VO2max,WanT,54,54,2.8789966753818783,53,0.006,0.057,ns,SCMR_STR
CCI,VO2max,Cooldown,54,54,4.65264465996447,53,2.23e-5,2.23e-4,***,SCMR_STR
CCI,WanT,Cooldown,54,54,1.7053311520250523,53,0.094,0.94,ns,SCMR_STR
CCI,Warmup,SecondThreshold,55,55,2.061987366389357,54,0.044,0.44,ns,SCMR_UTR
CCI,Warmup,VO2max,55,55,3.4107055481133868,54,0.001,0.012,*,SCMR_UTR
CCI,Warmup,WanT,55,55,5.755264713476926,54,4.2e-7,4.2e-6,****,SCMR_UTR
CCI,Warmup,Cooldown,55,55,5.62466203630158,54,6.77e-7,6.77e-6,****,SCMR_UTR
CCI,SecondThreshold,VO2max,55,55,2.3631560571205488,54,0.022,0.218,ns,SCMR_UTR
CCI,SecondThreshold,WanT,55,55,2.9672374568762105,54,0.004,0.045,*,SCMR_UTR
CCI,SecondThreshold,Cooldown,55,55,2.642388154097819,54,0.011,0.107,ns,SCMR_UTR
CCI,VO2max,WanT,55,55,1.7368292307850022,54,0.088,0.881,ns,SCMR_UTR
CCI,VO2max,Cooldown,55,55,1.2202781590062555,54,0.228,1,ns,SCMR_UTR
CCI,WanT,Cooldown,55,55,-0.4051368299843393,54,0.687,1,ns,SCMR_UTR
CCI,Warmup,SecondThreshold,55,55,0.6568746310447674,54,0.514,1,ns,STL_STR
CCI,Warmup,VO2max,55,55,-0.12925643974902468,54,0.898,1,ns,STL_STR
CCI,Warmup,WanT,55,55,2.1409421718435078,54,0.037,0.368,ns,STL_STR
CCI,Warmup,Cooldown,55,55,2.685550283196534,54,0.01,0.096,ns,STL_STR
CCI,SecondThreshold,VO2max,55,55,-0.8169953234517839,54,0.418,1,ns,STL_STR
CCI,SecondThreshold,WanT,55,55,1.8513039884375435,54,0.07,0.696,ns,STL_STR
CCI,SecondThreshold,Cooldown,55,55,1.9075505991481125,54,0.062,0.618,ns,STL_STR
CCI,VO2max,WanT,55,55,2.9155986064903363,54,0.005,0.052,ns,STL_STR
CCI,VO2max,Cooldown,55,55,2.580978289926961,54,0.013,0.126,ns,STL_STR
CCI,WanT,Cooldown,55,55,0.28306562780893596,54,0.778,1,ns,STL_STR
CCI,Warmup,SecondThreshold,56,56,3.3914478503864354,55,0.001,0.013,*,UTL_MTL
CCI,Warmup,VO2max,56,56,5.9186163200541415,55,2.18e-7,2.18e-6,****,UTL_MTL
CCI,Warmup,WanT,56,56,4.880222155021197,55,9.47e-6,9.47e-5,****,UTL_MTL
CCI,Warmup,Cooldown,56,56,3.983407172297419,55,2.01e-4,0.002,**,UTL_MTL
CCI,SecondThreshold,VO2max,56,56,3.1540045499391627,55,0.003,0.026,*,UTL_MTL
CCI,SecondThreshold,WanT,56,56,1.8925273892299483,55,0.064,0.637,ns,UTL_MTL
CCI,SecondThreshold,Cooldown,56,56,0.815318705298488,55,0.418,1,ns,UTL_MTL
CCI,VO2max,WanT,56,56,-0.48830948997264273,55,0.627,1,ns,UTL_MTL
CCI,VO2max,Cooldown,56,56,-1.7975171247810877,55,0.078,0.777,ns,UTL_MTL
CCI,WanT,Cooldown,56,56,-1.2511431246724034,55,0.216,1,ns,UTL_MTL
CCI,Warmup,SecondThreshold,56,56,0.9018453331416328,55,0.371,1,ns,UTL_UTR
CCI,Warmup,VO2max,56,56,3.6774286294276615,55,5.37e-4,0.005,**,UTL_UTR
CCI,Warmup,WanT,56,56,3.862612949779088,55,2.98e-4,0.003,**,UTL_UTR
CCI,Warmup,Cooldown,56,56,4.703435582677892,55,1.76e-5,1.76e-4,***,UTL_UTR
CCI,SecondThreshold,VO2max,56,56,3.151180882316863,55,0.003,0.026,*,UTL_UTR
CCI,SecondThreshold,WanT,56,56,3.2406479345611987,55,0.002,0.02,*,UTL_UTR
CCI,SecondThreshold,Cooldown,56,56,3.3161632515408197,55,0.002,0.016,*,UTL_UTR
CCI,VO2max,WanT,56,56,1.047713621635937,55,0.299,1,ns,UTL_UTR
CCI,VO2max,Cooldown,56,56,1.0956653981422664,55,0.278,1,ns,UTL_UTR
CCI,WanT,Cooldown,56,56,0.20543764600328496,55,0.838,1,ns,UTL_UTR
CCI,Warmup,SecondThreshold,55,55,3.5004576609419646,54,9.4e-4,0.009,**,UTR_MTR
CCI,Warmup,VO2max,55,55,6.0204595829912835,54,1.58e-7,1.58e-6,****,UTR_MTR
CCI,Warmup,WanT,55,55,5.7885250632585885,54,3.71e-7,3.71e-6,****,UTR_MTR
CCI,Warmup,Cooldown,55,55,5.240780608652168,54,2.72e-6,2.72e-5,****,UTR_MTR
CCI,SecondThreshold,VO2max,55,55,4.281581464187321,54,7.66e-5,7.66e-4,***,UTR_MTR
CCI,SecondThreshold,WanT,55,55,2.639997197641746,54,0.011,0.108,ns,UTR_MTR
CCI,SecondThreshold,Cooldown,55,55,1.7234180686190066,54,0.09,0.905,ns,UTR_MTR
CCI,VO2max,WanT,55,55,0.016484570558741328,54,0.987,1,ns,UTR_MTR
CCI,VO2max,Cooldown,55,55,-1.0265386704887232,54,0.309,1,ns,UTR_MTR
CCI,WanT,Cooldown,55,55,-0.9659776300864453,54,0.338,1,ns,UTR_MTR
