Time (s),Period,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL,angle sagital,angle frontal,angle horzintal
0.9997941,Warmup,1.50549994472428,3.041450907764449,2.105276849373816,9.749420192216622,8.72284000165196,6.339786107209565,1.413433222761533,1.463131392645499,0,0,20
1.999588,Warmup,1.731488780779282,3.662284806008188,2.659865019734868,2.540621631063477,9.208702655470145,6.961184967497477,1.455906451404344,1.589392739505242,5,0,20
2.999382,Warmup,1.743991678569605,2.864523367829563,2.609752089222175,1.696683770611667,9.248179505203792,6.703156735561903,1.510729351190764,1.512255020461367,5,0,20
3.99997,Warmup,2.171899037038785,3.924453546779861,2.444235806895068,1.80113110254256,9.794487780788096,6.541942404958731,1.510308054550785,1.582204470511675,5,0,20
4.999764,Warmup,3.338734887333184,6.282542882985014,2.40735209170721,1.835027423595037,9.640262591750497,6.853056622313769,1.455255837355773,1.422578594470554,5,0,20
5.999559,Warmup,3.564163397882301,5.434538704797971,2.417645822843653,1.74639564205955,8.448641546134285,6.754601665200835,1.438441805510907,1.848599139421665,5,-10,20
6.999353,Warmup,3.771975506738434,5.142616167661546,2.439420974752889,1.694716048935973,5.637210130819667,6.295505629066692,1.485712894981269,2.592486640543801,0,-10,20
7.999941,Warmup,2.947461979844144,5.034980482804341,2.245315547012332,1.667880876000216,7.620480131285228,6.810049521545482,1.544043757982735,1.548392861361344,0,-10,20
8.999735,Warmup,2.343869942510174,4.068696671717216,1.950377772342377,1.604748170756763,8.45961196198789,6.331783639626503,1.569627420816239,1.405312205348186,0,-10,20
9.999529,Warmup,2.723352165009486,3.914862725151258,1.958188964160708,1.572912459257816,10.26138174222913,5.940172723176606,1.415105558445685,1.49624648000853,0,-10,20
10.99932,Warmup,2.173795105050469,3.522726740639142,1.954490949022785,1.666461972001308,8.590234858307378,6.59635563750118,1.421404291141177,1.533639209542207,0,-10,20
11.99991,Warmup,2.237571113576299,3.494581671513751,2.082670860726477,1.725663225252075,10.05257661046099,6.480925462500359,1.389889654551923,1.417708374080988,0,-10,20
12.99971,Warmup,2.143667900551307,4.50520321184241,2.107831028783821,1.673966529394994,9.902293501894682,6.193610313380711,1.471957783116684,1.417343167845591,0,-10,20
13.9995,Warmup,2.710881866032087,4.858396878619407,1.841584885488561,1.568698932755696,8.271565145501953,6.029242836666021,1.598078842171491,2.052434374348797,0,-20,0
14.99929,Warmup,2.574780028073523,4.495637232650371,1.973341169780893,1.644775249385734,8.438699947007308,5.968993307943403,1.327393625478916,1.311507335928493,0,-20,0
15.99988,Warmup,2.369112239149622,3.964252423817336,2.037904453080532,1.630060412640419,10.13988067907781,6.639492094836463,1.376676108512437,1.406192572601247,0,-30,0
16.99968,Warmup,2.333025834275551,3.462883820292707,1.76293369903827,1.537284566604934,9.328034009541586,6.085310977539788,1.458837016518205,1.4820422930424,0,-30,0
17.99947,Warmup,2.356514302068913,4.471406986060606,2.132958695980379,1.602700612880797,9.805453188669365,7.051730008419348,1.510206595441213,1.381815833466547,0,-30,0
18.99926,Warmup,16.72403969919353,54.70173678710118,2.184425219028667,1.588561353115342,9.253077963038438,6.789735570637572,1.420312150275,1.447648829011492,0,-30,0
19.99985,Warmup,27.3074846022012,7.283461231497278,1.774812907502419,1.535597052932182,8.479061438692788,5.995950700961096,1.483569797116567,1.418629435155287,0,-30,-20
20.99965,Warmup,24.48008786933099,6.155193544770514,2.365881784866206,1.573491204272647,3.485955642049532,5.100626190768366,2.191036323998826,5.324466725733953,0,-30,-20
21.99944,Warmup,4.762745357364458,5.868945751148544,2.191139567268958,1.519827869535757,2.599699050544228,2.925634115213107,1.990003754260595,1.474670588488805,0,-30,-20
22.99924,Warmup,4.30714400651567,5.673364775904814,1.658299939653874,1.514323259853058,2.496244626207264,3.636021535766796,1.506360787984556,1.54119734369443,0,-40,-20
23.99982,Warmup,4.295549565934595,51.09147492606533,1.588172713442682,1.441786478589392,3.135470166157912,3.621686463131217,1.544418520568928,1.442144001759591,0,-40,-20
24.99962,Warmup,3.655280763100627,5.369727174034874,1.904938418980464,1.359014142698535,4.428332390779959,4.036817330005521,1.751530629207581,1.349413942769501,0,-40,-20
25.99941,Warmup,3.638089062238705,4.880133952100344,1.787502076971791,1.49202878414118,4.340157193853886,3.94440433918665,1.700311409208348,1.377972246049808,0,-40,-20
26.9992,Warmup,3.855820215439643,5.498145491061639,1.771328801570768,1.536333210656268,5.462233977065698,4.43778845423984,1.646454929822553,1.338607082771828,0,-40,-20
27.99979,Warmup,5.616565687486683,5.650531953014578,1.828716582310435,1.500635651402405,7.084539053431593,4.947509493644338,1.59772408577204,1.405804538648309,0,-40,-20
28.99959,Warmup,5.730267955075701,6.065054499084988,1.933788055830038,1.550330094467496,6.505895286117717,4.885511954933289,1.695687485391796,1.388889172186199,0,-40,-20
29.99938,Warmup,4.212257755626313,5.835600393024115,2.402784665917869,1.599028975005992,7.793246968801051,5.615236759874812,1.65502662863854,1.744944350914697,0,-40,-20
30.99997,Warmup,4.837284323178865,6.031534534947505,2.108844733390259,1.556249300886916,8.748318895955945,5.106395208912575,1.677597748693638,1.506092150088817,0,-40,-20
31.99976,Warmup,5.022639508432619,5.524148332038948,2.166517058882716,1.490756370320671,7.539610240677922,5.095845988907519,1.672609398991493,2.503324653501683,0,-40,-20
32.99956,Warmup,4.270856704001342,5.872323738783964,2.594573531313459,1.515006323458037,4.843981844347164,5.005650503546422,1.561764259535202,1.92232569395426,0,-40,-20
33.99935,Warmup,4.113268762092824,6.33495178250247,2.052147342299305,1.590849748769452,4.240883542046313,4.948219063450125,1.672634016419562,1.474174264192412,0,-40,-20
34.99994,Warmup,4.31505814508959,5.793483892277889,2.215055210504259,1.586642705425182,5.727221992366044,4.866356012659131,1.612146229490859,1.423189611327586,0,-40,-20
35.99973,Warmup,4.961097562487014,6.858270200679682,1.905686038012846,1.562193371717809,6.425153706758172,4.887076078563467,1.600208003172422,1.393594118879114,0,-40,-20
36.99953,Warmup,5.099087833050966,6.571032846676228,2.009881211096143,1.613538837207585,6.393096553806361,5.014573880634185,1.930064368945666,1.226513342858237,0,-40,-20
37.99932,Warmup,5.135750552911053,6.369302372785422,2.10900710907856,1.680038658870199,7.660463039844974,5.284236541523962,1.906574425463567,1.29226420212352,0,-40,-20
38.99991,Warmup,3.727030459614737,5.425066583258465,2.045058202595817,1.51901641464381,6.703000800106159,4.790002947487743,1.608041272361773,1.379342573240918,0,-40,-20
39.99971,Warmup,3.553019321175518,5.531488550887416,2.12321300639876,1.525894863702566,7.812320046836742,5.408055668904939,1.720188856472517,1.288213610684712,0,-40,-20
40.9995,Warmup,3.510589718183326,5.249465345455469,2.160945915045168,1.589528546760383,7.453923261784101,5.133035587522155,2.037683159434308,1.283136752732312,0,-40,-20
41.99929,Warmup,3.833142183744675,4.63137149095924,2.464780243460575,1.537654047197661,7.380339887716229,4.80941426876686,2.107633149891081,1.334848069760249,0,-40,-20
42.99988,Warmup,4.474146989557886,5.553621145662542,2.381334996617817,1.53856670309578,8.127792992951436,4.497085389388824,2.613208725915611,1.285788403584344,0,-40,-20
43.99968,Warmup,4.321910754407713,9.854178579661756,2.142412012116671,1.603233023383759,7.019886843373495,4.68640221646505,2.236108786096716,1.282479399101253,0,-40,-20
44.99947,Warmup,20.21751004283344,6.602770562210558,2.245299593798087,1.744758655103964,6.989053999854264,5.167271993600389,2.262688842973039,6.414252642926481,0,-40,-20
