segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,300,7.888914e-06,1.05745e-05,-3.860533e-06,1.19173e-05,-2.165255e-05,-1.5945675e-06,-1.007095e-06,-8.728161e-06
second_threshold,301,7.888914e-06,1.12459e-05,-3.356985e-06,1.12459e-05,-2.030976e-05,-8.392462e-07,-1.510643e-06,-8.89601e-06
second_threshold,302,7.888914e-06,1.12459e-05,-5.539025e-06,1.12459e-05,-2.232395e-05,-3.356985e-07,-8.392462e-07,-8.224612e-06
second_threshold,303,7.553216e-06,1.12459e-05,-4.867628e-06,1.15816e-05,-2.165255e-05,-1.007095e-06,-1.174945e-06,-7.8049895e-06
second_threshold,304,7.888914e-06,1.12459e-05,-3.524834e-06,1.19173e-05,-2.098116e-05,-1.510643e-06,-8.392462e-07,-8.224612e-06
second_threshold,305,7.721065e-06,1.15816e-05,-4.867628e-06,1.12459e-05,-2.165255e-05,-2.853437e-06,-1.510643e-06,-8.224612e-06
second_threshold,306,7.888914e-06,1.15816e-05,-4.867628e-06,1.19173e-05,-2.18204e-05,-2.7695125e-06,-1.174945e-06,-8.224612e-06
second_threshold,307,7.888914e-06,1.12459e-05,-3.860533e-06,1.15816e-05,-2.098116e-05,-1.510643e-06,-1.510643e-06,-8.4763865e-06
second_threshold,308,7.888914e-06,1.12459e-05,-4.867628e-06,1.19173e-05,-2.165255e-05,-1.174945e-06,-8.392462e-07,-8.728161e-06
second_threshold,309,7.888914e-06,1.107805e-05,-4.531929e-06,1.174945e-05,-2.232395e-05,-1.510643e-06,-1.510643e-06,-7.888914e-06
second_threshold,310,7.888914e-06,1.15816e-05,-5.539025e-06,1.15816e-05,-2.198825e-05,-2.18204e-06,-8.392462e-07,-8.224612e-06
second_threshold,311,7.888914e-06,1.15816e-05,-5.203327e-06,1.09102e-05,-2.165255e-05,-1.2588694999999998e-06,-1.510643e-06,-8.224612e-06
second_threshold,312,7.888914e-06,1.12459e-05,-3.524834e-06,1.12459e-05,-2.131685e-05,-1.846342e-06,-8.392462e-07,-8.224612e-06
second_threshold,313,7.888914e-06,1.12459e-05,-3.7766079999999998e-06,1.19173e-05,-2.098116e-05,-1.678492e-06,-8.392462e-07,-8.560311e-06
second_threshold,314,7.721065e-06,1.12459e-05,-4.867628e-06,1.107805e-05,-2.232395e-05,-1.510643e-06,-1.174945e-06,-8.560311e-06
second_threshold,315,7.888914e-06,1.12459e-05,-5.203327e-06,1.12459e-05,-2.131685e-05,-1.678492e-06,-1.510643e-06,-8.89601e-06
second_threshold,316,7.888914e-06,1.12459e-05,-5.119402e-06,1.15816e-05,-2.165255e-05,-1.846342e-06,-1.510643e-06,-7.888914e-06
second_threshold,317,7.888914e-06,1.12459e-05,-3.1052109999999996e-06,1.174945e-05,-2.198825e-05,-2.853437e-06,-8.392462e-07,-8.224612e-06
second_threshold,318,7.888914e-06,1.12459e-05,-3.524834e-06,1.15816e-05,-2.165255e-05,-1.846342e-06,-1.174945e-06,-8.560311e-06
second_threshold,319,7.888914e-06,1.12459e-05,-4.196231e-06,1.19173e-05,-2.098116e-05,-2.517739e-06,-1.510643e-06,-8.224612e-06
second_threshold,320,7.888914e-06,1.12459e-05,-3.524834e-06,1.15816e-05,-2.098116e-05,-1.846342e-06,-1.510643e-06,-7.888914e-06
second_threshold,321,7.888914e-06,1.09102e-05,-2.853437e-06,1.15816e-05,-2.165255e-05,-1.846342e-06,-6.713969e-07,-8.392462e-06
second_threshold,322,7.553216e-06,1.12459e-05,-3.524834e-06,1.12459e-05,-2.232395e-05,-2.2659645e-06,-8.392462e-07,-8.224612e-06
second_threshold,323,7.888914e-06,1.12459e-05,-4.867628e-06,1.12459e-05,-2.098116e-05,-1.510643e-06,-8.392462e-07,-8.560311e-06
second_threshold,324,7.888914e-06,1.09102e-05,-4.867628e-06,1.15816e-05,-2.081331e-05,-1.510643e-06,-1.510643e-06,-8.560311e-06
second_threshold,325,7.888914e-06,1.12459e-05,-4.196231e-06,1.15816e-05,-2.232395e-05,-1.846342e-06,-1.510643e-06,-8.8120855e-06
second_threshold,326,7.888914e-06,1.12459e-05,-4.196231e-06,1.12459e-05,-2.232395e-05,-1.678492e-07,-8.392462e-07,-8.224612e-06
second_threshold,327,7.888914e-06,1.12459e-05,-4.531929e-06,1.15816e-05,-2.198825e-05,-1.510643e-06,-5.035477e-07,-8.224612e-06
second_threshold,328,7.888914e-06,1.12459e-05,-5.539025e-06,1.12459e-05,-2.165255e-05,-1.510643e-06,-1.510643e-06,-8.056763e-06
