segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,420,6.601273638775819e-06,4.403815265418553e-06,1.1665498109130996e-05,1.0965383141895878e-05,8.893828955724133e-06,2.97489944938835e-05,9.058640572131187e-07,9.566571830544107e-05
second_threshold,421,6.151259110829597e-06,4.0604854652086975e-06,1.401968580460507e-05,7.209490470072018e-06,9.403751181447043e-06,2.522797596886023e-05,9.412799776841971e-07,9.646381921365378e-05
second_threshold,422,6.889954624530432e-06,5.748582234344431e-06,1.3828805320555063e-05,1.035474837813707e-05,9.420115231445796e-06,3.0918998935489534e-05,9.692781098073472e-07,9.969353911518008e-05
second_threshold,423,6.870505254160487e-06,5.375968735740888e-06,1.3819017107935141e-05,6.774829469469782e-06,1.128712567755972e-05,3.397551835223276e-05,9.572653743696224e-07,9.872549172674259e-05
second_threshold,424,6.113720634151543e-06,4.212515656073343e-06,1.3023668628587458e-05,6.064416465653995e-06,1.0730448341766889e-05,3.074035899799633e-05,8.352545967574047e-07,9.300491805437808e-05
second_threshold,425,6.470656170450528e-06,5.671533844750788e-06,1.4000508443321618e-05,7.687637183946313e-06,1.1257125398158063e-05,2.9357086685921113e-05,1.0743945114549479e-06,8.850736784377044e-05
second_threshold,426,6.244343121378023e-06,4.275524867435261e-06,1.3627944752561842e-05,5.664290504866417e-06,1.0593200612803384e-05,2.8944489955185387e-05,9.291417270669769e-07,8.461961729998895e-05
second_threshold,427,7.380735204216289e-06,7.793718409600707e-06,1.812449929232504e-05,1.383389643979939e-05,1.5589185057339572e-05,2.7463210472068442e-05,9.325529754116808e-07,8.34374735847781e-05
second_threshold,428,6.827527135696745e-06,6.7685555777462885e-06,2.5370659472603746e-05,2.618473036873505e-05,9.445779140534261e-06,2.645345342713872e-05,1.135604845984994e-06,5.1646218435014264e-05
second_threshold,429,5.965314094776419e-06,1.2142148956933136e-05,1.6366574672755307e-05,6.465260553316159e-06,8.907795172914594e-06,2.615075136103236e-05,1.0323326751833148e-06,4.0494071483872114e-05
second_threshold,430,6.562069248397806e-06,2.344161639729314e-05,1.6040351176273183e-05,7.757084671380586e-06,9.495090522213089e-06,2.6156650186617282e-05,1.5443750018952762e-06,3.722005866910052e-05
second_threshold,431,1.2314650450936183e-05,2.707088949011166e-05,2.410930703728524e-05,1.992665290546358e-05,9.997972677316894e-06,2.9087183305187253e-05,1.0922313525064811e-06,4.618179230032499e-05
second_threshold,432,7.714150819317985e-06,1.738949510716139e-05,2.080803933912568e-05,1.686080201135133e-05,1.0865861839208601e-05,2.996984888754506e-05,9.804393663841712e-07,8.320018845779386e-05
second_threshold,433,8.459016593995265e-06,2.565802245434038e-05,2.810725308531179e-05,2.2612014131660827e-05,8.933786013071205e-06,2.3348818769419998e-05,1.0598598046898273e-06,7.43176164050995e-05
second_threshold,434,9.260990146617018e-06,3.0618019879599754e-05,2.2469486938990202e-05,1.874175206012299e-05,9.166215628204359e-06,1.6613914991120674e-05,1.1815889141339041e-06,7.832543531740367e-05
