Time (s),Period,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL,angle sagital,angle frontal,angle horzintal
0.9997941,Warmup,2.04233983233381,2.181785515437789,1.590202482298554,1.254965569385767,8.105194907300243,19.19786427483792,1.004319746352939,1.304239055092596,-5,0,0
1.999588,Warmup,2.00669366393209,2.015722743251502,1.641446363534464,1.398292786405623,7.885698029151066,18.18805415032667,0.8773006309472313,1.145193863515428,-10,0,0
2.999382,Warmup,2.042671535226106,2.382986123905862,1.885154090684624,1.323768271567615,8.063190860167444,18.61183608991309,0.8982993888612659,1.127681284503028,-10,0,20
3.99997,Warmup,2.737588903506721,2.75889231371707,1.544785828642117,1.333282099109903,8.713822286392768,18.65413859999181,0.960924217893572,1.226562826776937,-15,0,0
4.999764,Warmup,2.186568136134533,2.333977269725406,1.879885070634562,1.395075993201356,9.261998288259226,17.69187134207052,0.9098400607327565,1.44156569072213,-10,0,0
5.999559,Warmup,2.307741678798741,3.175093484574948,1.715053316186328,1.31279685960538,11.11697275455119,16.79292947157599,1.526004349277468,1.325432258717441,-15,0,0
6.999353,Warmup,2.85110775414096,3.449648705528335,3.551330403329394,1.340804666002976,8.30227113290113,17.11738657633507,2.393279387987303,1.299873673760813,-15,0,0
7.999941,Warmup,3.184135409886701,2.487588562734243,2.329210020251599,1.370287450503257,9.51614326019848,16.86914885396668,1.829378520478291,1.3430476608651,-15,-10,0
8.999735,Warmup,3.141935119459461,2.487184305743349,2.135243061536894,1.500073657413167,9.207191751944189,18.34507501492822,3.604716644407129,1.495755646875776,-20,-10,0
9.999529,Warmup,2.962854382494406,1.995783858802676,2.110752570053927,1.610558887783027,10.60506768803519,16.47735963721954,5.911468970677791,1.383435775661416,-15,0,0
10.99932,Warmup,8.854068998210197,2.056089555062067,1.73491114129575,1.300910480165733,7.734883352259888,18.01267295507926,2.035976312078358,1.231243653252029,-15,-10,0
11.99991,Warmup,2.852233464995132,2.286310594901058,1.918977956958085,1.291061266995043,8.092675184933213,16.58948478781011,2.904074794936991,1.257970625668815,-15,0,0
12.99971,Warmup,2.612500951309647,2.611087455869636,2.102580801918071,1.295505385341113,9.207231107557577,17.84335894337617,4.78639301408149,1.261802797553966,-15,0,0
13.9995,Warmup,3.048245561849061,2.991055899177365,2.527651777328425,1.275283975962137,9.768161393609846,17.95871843957388,1.964224368821637,1.347341226203929,-15,0,0
14.99929,Warmup,3.814535102541374,3.076931975728917,2.255991358313037,1.154621385190178,8.3167900855778,17.2724667201683,1.661448413339687,1.293210706054283,-15,0,0
15.99988,Warmup,4.049710641140715,5.729417698127086,2.163532557489319,1.353856902687682,8.604112709205035,17.75516452666632,1.210693241884584,1.260908899174088,-15,0,0
16.99968,Warmup,3.079198880752275,3.15623076675788,2.359745978567511,1.537931153234843,7.816389131244549,17.58650252271882,1.244869443399221,1.279889493539653,-15,0,0
17.99947,Warmup,2.836846695453294,2.862863887685798,2.019587196817135,1.390391080369006,8.51669560324743,17.83191473225209,6.164739909192125,1.268868105248454,-15,0,0
18.99926,Warmup,2.539752560069865,3.042999779060167,4.492920048180038,1.385520421975582,9.116841917131476,15.91590999732512,6.722511639174231,1.338180185530995,-15,0,0
19.99985,Warmup,2.179862977260037,2.753116029159593,2.519404641503802,1.47064801391195,8.938249548707075,16.63200998959811,3.273570640743072,1.358699151825021,-15,0,0
20.99965,Warmup,2.613299053049835,2.898640413860622,1.75695131017528,1.609645387024808,9.443747879776557,16.50895234062283,3.921462890743507,1.31023799540499,-15,0,0
21.99944,Warmup,2.676064537805396,2.5180865647132,1.903181887748664,2.784408811517826,9.275978945494547,17.24853334730428,3.955211685029586,1.28395609095205,-15,0,0
22.99924,Warmup,2.367438355334155,2.838372635550155,2.048263458247506,3.341196636218964,9.23507678849146,17.58097377815777,2.529603855322991,1.209068833154367,-15,-10,0
23.99982,Warmup,4.277247579563383,2.359989773298556,2.296466717179474,1.361229511459614,10.04031009757357,15.56718104790101,2.508865472715336,1.249087560127669,-15,-10,0
24.99962,Warmup,14.86424978219708,3.378384202034283,2.481658366991092,1.555829673069646,8.86829780682172,18.02228793286498,2.617745761179925,1.359160687581748,-15,0,0
25.99941,Warmup,3.657523888168726,3.87557342893704,3.2821035507888,2.103147610350981,9.278043962390006,18.97821363458744,1.173091607639259,1.411884636092724,-15,-10,0
26.9992,Warmup,3.307768094966161,3.275006270153594,2.440145669049242,1.778296612059379,10.99328943646193,19.98003236187865,1.351628920747866,1.216760407528658,-15,0,0
27.99979,Warmup,3.064902856119431,2.682084145977083,2.242020728450508,2.379169008965586,11.94775021173965,20.24959369258212,1.674112589219813,1.178948509283131,-20,0,0
28.99959,Warmup,2.62757014787012,2.486954544459314,2.031010019986908,1.39532802413656,11.93167793685515,17.89427607864339,2.649083203130492,1.118944661154127,-20,0,0
29.99938,Warmup,2.854718512812408,5.377561709807114,1.79762220296515,1.288611339006387,10.84726698070688,18.77778544960298,2.976147868396201,1.141911045169484,-20,0,0
