Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,272.6205949794823,3.0,90.87353165982744,88.45836844463132,2.19300377883368e-34,5.397371907906921e-19,0.5466634540081821,0.5168782930825863,False,0.18745599701802707,3.1942574092281564e-18,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,172.58687433746775,168.0,1.027302823437308,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,2.542420611111184e-10,,,,,,,PostHoc_All,phase,CD,ST,-0.8282311032860332,0.6562826129476723,0.028256638039262195,0.2916672519286337,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,-1.6752543566975282
,,,,,1.940069989315835e-08,,,,,,,PostHoc_All,phase,CD,VO2,-0.8282311032860332,0.6562826129476723,0.07567911528446344,0.6811161337810313,True,False,119.0,two-sided,1.1640419935895011e-07,bonf,-1.342440263895802
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,CD,WanT,-0.8282311032860332,0.6562826129476723,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,3.16963491937083e-10,bonf,1.3522796386056233
,,,,,0.4177038685377512,,,,,,,PostHoc_All,phase,ST,VO2,0.028256638039262195,0.2916672519286337,0.07567911528446344,0.6811161337810313,True,False,724.0,two-sided,1.0,bonf,-0.08990686840254007
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.028256638039262195,0.2916672519286337,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.103402367613353
,,,,,6.197035082697064e-11,,,,,,,PostHoc_All,phase,VO2,WanT,0.07567911528446344,0.6811161337810313,-2.626158978686817,1.7485482702055803,True,False,3.0,two-sided,3.7182210496182384e-10,bonf,2.022533718139708
,,,,,2.542420611111184e-10,,,,,,,PostHoc_Sig,phase,CD,ST,-0.8282311032860332,0.6562826129476723,0.028256638039262195,0.2916672519286337,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,-1.6752543566975282
,,,,,1.940069989315835e-08,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.8282311032860332,0.6562826129476723,0.07567911528446344,0.6811161337810313,True,False,119.0,two-sided,1.1640419935895011e-07,bonf,-1.342440263895802
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.8282311032860332,0.6562826129476723,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,3.16963491937083e-10,bonf,1.3522796386056233
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.028256638039262195,0.2916672519286337,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.103402367613353
,,,,,6.197035082697064e-11,,,,,,,PostHoc_Sig,phase,VO2,WanT,0.07567911528446344,0.6811161337810313,-2.626158978686817,1.7485482702055803,True,False,3.0,two-sided,3.7182210496182384e-10,bonf,2.022533718139708
