Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,CD,ST,-0.7609620539353128,0.6040625712746159,0.0688944683878771,0.26655107951627705,True,False,4.0,two-sided,6.534899414840058e-11,3.920939648904035e-10,bonf,-1.7655481438167828
phase,CD,VO2,-0.7609620539353128,0.6040625712746159,-0.07094615076171563,0.4331556598039832,True,False,116.0,two-sided,1.6896940244331517e-08,1.0138164146598911e-07,bonf,-1.303999260898392
phase,CD,WanT,-0.7609620539353128,0.6040625712746159,-1.676826485577166,1.377096152062678,True,False,59.0,two-sided,1.1014114111529503e-09,6.608468466917701e-09,bonf,0.8555471490280917
phase,ST,WanT,0.0688944683878771,0.26655107951627705,-1.676826485577166,1.377096152062678,True,False,1.0,two-sided,5.5717740783625447e-11,3.343064447017527e-10,bonf,1.7482927560741337
phase,VO2,WanT,-0.07094615076171563,0.4331556598039832,-1.676826485577166,1.377096152062678,True,False,42.0,two-sided,4.692925593266626e-10,2.815755355959976e-09,bonf,1.5626183846208288
