muscle,phase,n_removed
MTL,CD,4
MTL,ST,1
MTL,VO2,9
MTL,WanT,1
MTR,CD,2
MTR,ST,3
MTR,VO2,7
MTR,WU,1
MTR,WanT,2
SCML,CD,1
SCML,ST,6
SCML,VO2,9
SCML,WU,3
SCML,WanT,1
SCMR,CD,5
SCMR,ST,6
SCMR,VO2,10
SCMR,WU,1
SCMR,WanT,4
STL,CD,3
STL,ST,8
STL,VO2,8
STL,WU,1
STL,WanT,2
STR,CD,3
STR,ST,5
STR,VO2,5
STR,WanT,2
UTL,CD,2
UTL,ST,7
UTL,VO2,11
UTL,WanT,6
UTR,CD,5
UTR,ST,5
UTR,VO2,9
UTR,WanT,2
