Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,272.6205949794823,3,90.87353165982744,88.45836844463132,2.19300377883368e-34,5.397371907906921e-19,0.5466634540081821,0.5168782930825863,False,0.18745599701802707,3.1942574092281564e-18
Error,172.58687433746775,168,1.027302823437308,,,,,,,,
