Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,106.9613439989613,3,35.6537813329871,139.03254543689818,2.6476143394182782e-45,4.030864558566727e-27,0.63662832437298,0.574201328014978,False,0.2880684289404372,2.5954922597485517e-13
Error,43.082252756858296,168,0.2564419806955851,,,,,,,,
