Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,364.72288873671437,3,121.57429624557146,80.50976218001813,2.498487316504515e-32,1.7476050374347936e-20,0.5338514334430572,0.6025745137811945,False,0.30882345426167696,1.5979911976861279e-12
Error,253.68950567245864,168,1.5100565813836824,,,,,,,,
