"k","tot_withinss","silhouette","davies_bouldin","calinski_harabasz"
2,189.5627485157,0.442658066174382,1.37024277138141,30.2006769759985
3,140.521418098198,0.42627980000809,1.05110510292549,29.7847854789343
4,104.516140592511,0.352977552647587,1.12975348195111,32.5360026039299
5,79.4977228350618,0.348582464168787,0.902046223692223,35.7466936206797
