"Subject","PC1"
541,0.83841214358299
560,-1.14858779049648
570,-1.22715456813692
571,-0.164419565920526
572,-1.62895089537074
573,2.66706112680145
574,3.74104005650603
575,-1.12298295540447
577,-0.746391627940548
578,0.37603783891722
579,2.17293231681064
580,1.51743087138392
581,0.00755345659663301
582,-1.42582675412741
583,0.0893594151997317
584,-1.08384734261121
585,2.73787466945585
586,-1.40320349608829
587,-1.47876850108853
588,-0.424433821475247
590,-0.27862773925027
591,-1.11125120013444
594,3.40822678054945
595,-1.82215483172218
596,-1.17235794312682
598,0.678682010466292
600,-0.646182130105411
601,0.861598031493308
602,-1.57909034994275
603,-0.25536227767669
604,1.21302407358382
605,-0.468801686784141
606,0.330166219710098
607,-1.29253406525063
608,-1.81150186898734
609,-1.17815501776254
610,0.0173663846870507
611,-0.855204018237755
612,-1.23122699680817
613,-0.0442884333902509
614,0.62324152003767
615,-0.652619888062795
616,3.47583893478647
617,-1.49688610582749
618,-0.0367212229598245
619,2.75558711105646
620,-1.42992079381588
621,0.401912653981468
622,-1.09116407015541
623,3.60615993437405
624,-0.776720681835723
625,-0.758843635308726
626,-1.32069669442778
627,2.01292307564592
628,-0.634592034621596
629,-0.763271754145479
630,0.984119591262192
631,1.39131751094733
632,-1.34512296883559
