"","Baseline_SCM_MVC_Warmup","Mean_SCM_MVC_Increase","SCM_Peak_MVC_WanT","CCI_SCML_MTL_Change","SCM_Bilateral_Asymmetry"
"Baseline_SCM_MVC_Warmup",1,-0.0546085135496975,0.376271415802276,-0.123290017648116,0.580475805960957
"Mean_SCM_MVC_Increase",-0.0546085135496975,1,0.849589233069977,-0.223697665452445,0.0425891533160926
"SCM_Peak_MVC_WanT",0.376271415802276,0.849589233069977,1,-0.297210813647645,0.444097009837934
"CCI_SCML_MTL_Change",-0.123290017648116,-0.223697665452445,-0.297210813647645,1,-0.253302709702388
"SCM_Bilateral_Asymmetry",0.580475805960957,0.0425891533160926,0.444097009837934,-0.253302709702388,1
