"Variable","p_value","Significant","Cluster_0_Mean","Cluster_1_Mean","Cluster_2_Mean"
"Baseline_SCM_MVC_Warmup",0.000107146335013365,"***",5.9317605398498,61.641229748741,12.3716924725883
"Mean_SCM_MVC_Increase",3.04307697190214e-05,"***",16.9792341540526,-7.47992018324409,65.4075619018222
"SCM_Peak_MVC_WanT",1.81778797498618e-07,"***",69.1880146438856,218.428046331253,251.759055055071
"CCI_SCML_MTL_Change",0.00125199343123738,"**",-0.101760743451209,-0.468101196080114,-0.348603255770072
"SCM_Bilateral_Asymmetry",0.000107146335013365,"***",35.2741326490431,313.259265189997,110.191317823175
