segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,300,8.523279345193603e-06,1.172992243252975e-05,1.4149450085880168e-05,1.0234476775805357e-05,2.0341584849230796e-05,3.0464417147497478e-05,6.381742177035237e-05,1.32070551395311e-05
second_threshold,301,9.196068829448434e-06,1.2292797130363594e-05,9.474012461373052e-06,1.0824205028701995e-05,1.8557323792665174e-05,3.158181634890608e-05,5.854523844018508e-05,1.7225990356764955e-05
second_threshold,302,8.933797162276497e-06,1.8087410374923664e-05,1.1716399369650293e-05,1.2803612587611313e-05,2.046248478018303e-05,2.6440895318611717e-05,6.45909258935292e-05,1.7618584494894386e-05
second_threshold,303,9.106720560902443e-06,1.2711650161465848e-05,2.1018755076897804e-05,1.0278634598647122e-05,2.0855120241319766e-05,2.651832148178475e-05,6.570586946986641e-05,1.8341672580134662e-05
second_threshold,304,9.68654861856819e-06,1.1123535774601263e-05,1.1320385468491389e-05,1.041594681695981e-05,1.905831104373485e-05,2.736038797584839e-05,4.374881207530435e-05,1.802888200223033e-05
second_threshold,305,9.451048449621192e-06,1.2756041838453418e-05,1.8652663874526614e-05,1.3956064171907735e-05,2.1994886678025958e-05,2.6417648617450227e-05,6.946787476299013e-05,1.5268932870921926e-05
second_threshold,306,9.467985444229985e-06,1.311446284263606e-05,7.328993589893051e-06,9.587758309833922e-06,2.2546879441701836e-05,2.954740565090523e-05,7.929203975578873e-05,1.6369586767364364e-05
second_threshold,307,9.631530481351825e-06,1.2158347402149072e-05,6.8678885610428635e-06,2.216928457279182e-05,2.002814718399208e-05,3.217875754393433e-05,6.375149722251967e-05,1.8036550971978336e-05
second_threshold,308,9.778472052586988e-06,1.2624958238141896e-05,6.550034870388325e-06,1.3680752177165587e-05,2.528341129302339e-05,2.6160805541050487e-05,6.742844308601244e-05,1.3631299887963824e-05
second_threshold,309,9.571441941274616e-06,1.2741591989145772e-05,8.023243457861063e-06,1.2663188603717925e-05,1.8475836904335785e-05,3.580638466691787e-05,6.423983575958711e-05,1.9275409018870027e-05
second_threshold,310,9.439309707789034e-06,1.2438707089576937e-05,1.1943734911365344e-05,1.2366887770947177e-05,2.0834312211893892e-05,2.8566447575184448e-05,6.53427727927996e-05,1.8829138639573938e-05
second_threshold,311,9.542292182671362e-06,1.4347806545761835e-05,7.347904907484412e-06,1.5124550361994862e-05,2.1038305316491792e-05,2.5588893660273047e-05,9.167937838876566e-05,1.910716687860648e-05
second_threshold,312,9.547437640204543e-06,1.1881745408654957e-05,1.80082829321761e-05,1.0917212926673713e-05,1.9554040299982304e-05,3.316314959201571e-05,6.24409234956324e-05,2.087429721831468e-05
second_threshold,313,9.103878868034764e-06,1.165706627648939e-05,1.148728254091858e-05,8.747545513426617e-06,1.930353493475648e-05,2.5983350939348784e-05,7.311996256039408e-05,1.9437628968869006e-05
second_threshold,314,9.396983334743946e-06,1.1644213793840433e-05,8.474858312572423e-06,1.0350194851264248e-05,2.3227474472548775e-05,2.3774757818990875e-05,7.626003006490375e-05,1.7386418820399713e-05
second_threshold,315,9.052237013801356e-06,1.3951844200808741e-05,9.334999738070283e-06,8.20922132542199e-06,1.971159225098032e-05,2.645947552010639e-05,6.088315252137563e-05,1.9254128835537916e-05
second_threshold,316,9.564900004048295e-06,1.2583558143163038e-05,9.167951368646159e-06,6.079188910045373e-06,1.7690179845006517e-05,2.6220373824518022e-05,5.4302646224708e-05,1.757905268843214e-05
second_threshold,317,9.014014837587792e-06,1.281506259209568e-05,8.509946142884398e-06,6.870066394108877e-06,2.4172211706073077e-05,2.7558389103357596e-05,6.746213755875546e-05,1.78162808409866e-05
second_threshold,318,8.716798717914327e-06,1.1461041522442249e-05,1.9550813106678577e-05,1.2826206342490087e-05,2.1764123700868132e-05,5.379947314525938e-05,4.7430128606256156e-05,2.6207997516837697e-05
second_threshold,319,9.427921353231866e-06,1.1986146040123859e-05,3.249698181247911e-05,1.721821311144882e-05,2.4982942845882547e-05,2.7646430339643697e-05,8.279583442223832e-05,1.9479084291735414e-05
second_threshold,320,9.708815177564884e-06,1.1454963439663309e-05,9.597162979402326e-06,7.256892296409138e-06,2.007472758674222e-05,3.124008202052356e-05,6.041825559778453e-05,2.3427744858603475e-05
second_threshold,321,1.1533048091508909e-05,1.4490167716510673e-05,1.0037865886295787e-05,1.015925223944581e-05,2.2297532498355767e-05,2.856041323961419e-05,8.326549741368291e-05,2.5422073059720588e-05
second_threshold,322,9.913563155797452e-06,1.5911765113604354e-05,1.1080681444947176e-05,1.1215583604758827e-05,1.7860078043410132e-05,2.8415104493996245e-05,6.061454388749986e-05,2.411541182279804e-05
second_threshold,323,1.028375817474203e-05,1.3289739226418423e-05,8.212471687776164e-06,1.0540899675494296e-05,2.1573298234103308e-05,2.8027501045280008e-05,5.550945912896771e-05,1.9665180605508785e-05
second_threshold,324,8.891672156425577e-06,1.3344915316679536e-05,1.5543306431811393e-05,1.1296585098941568e-05,2.42146339568196e-05,2.541759027857681e-05,7.54610093886192e-05,1.5633495109167936e-05
second_threshold,325,9.157301320114705e-06,1.2509172112631445e-05,8.494167276892572e-06,1.4672487360489528e-05,2.2643988847185755e-05,3.375178160722693e-05,5.3054660146696284e-05,2.2827173143629784e-05
second_threshold,326,9.378289069155417e-06,1.2291156218372863e-05,1.9068796326777734e-05,1.274662921497455e-05,2.3411826765825113e-05,2.6516703587814937e-05,8.19926492057113e-05,1.8683606970363213e-05
second_threshold,327,9.230045673853307e-06,1.2388187001179956e-05,9.77864693691604e-06,1.0262519196182674e-05,2.2775857478107787e-05,4.109341851752142e-05,7.002710471850783e-05,2.262728791830742e-05
second_threshold,328,1.0013824923901148e-05,1.2237725007531417e-05,9.309999897463533e-06,9.637469004599058e-06,2.476244628959357e-05,3.259393196340232e-05,6.0228981614356104e-05,2.3045800389945494e-05
