Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
phase,1648.2351932576405,3,165,549.4117310858802,290.56148778694273,1.3399163301110334e-65,3.409054975645312e-34,0.5022411984254823,0.501084582113896
muscle,54.71270292526876,7,385,7.8161004178955364,7.03079093660507,6.64478478449767e-08,0.00016318672563859433,0.03240817420735186,0.4344854532917946
phase * muscle,82.87973097428701,21,1155,3.9466538559184294,5.787590810613593,3.1166726513828055e-15,4.34952356522495e-05,0.048286821560193434,0.23725234304416787
