Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,288.61216517624223,3,96.20405505874741,125.4265076830945,2.3440785991690657e-42,2.2146183134328464e-26,0.6331476392654667,0.5983058279999546,False,0.29533199071039185,8.916170437852853e-13
Error,126.55753060429699,165,0.7670153369957393,,,,,,,,
