Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,169.89227912250834,3,56.63075970750278,109.83018885065479,2.110590565729492e-39,1.3261986972098888e-21,0.5802342473290661,0.516893248048265,False,0.21798469430525733,1.7152915276298683e-16
Error,86.6243400873816,168,0.5156210719487,,,,,,,,
