Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,109.00594712389429,3.0,36.33531570796476,61.53922749905977,6.77256703602958e-27,3.391975593820383e-14,0.43580826450328075,0.4803759268726741,False,0.17116382286033244,2.880510923266285e-19,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,99.19417722673468,168.0,0.590441531111516,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,6.534899414840058e-11,,,,,,,PostHoc_All,phase,CD,ST,-0.7609620539353128,0.6040625712746159,0.0688944683878771,0.26655107951627705,True,False,4.0,two-sided,3.920939648904035e-10,bonf,-1.7655481438167828
,,,,,1.6896940244331517e-08,,,,,,,PostHoc_All,phase,CD,VO2,-0.7609620539353128,0.6040625712746159,-0.07094615076171563,0.4331556598039832,True,False,116.0,two-sided,1.0138164146598911e-07,bonf,-1.303999260898392
,,,,,1.1014114111529503e-09,,,,,,,PostHoc_All,phase,CD,WanT,-0.7609620539353128,0.6040625712746159,-1.676826485577166,1.377096152062678,True,False,59.0,two-sided,6.608468466917701e-09,bonf,0.8555471490280917
,,,,,0.5406826470310391,,,,,,,PostHoc_All,phase,ST,VO2,0.0688944683878771,0.26655107951627705,-0.07094615076171563,0.4331556598039832,True,False,749.0,two-sided,1.0,bonf,0.38623175556196715
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.0688944683878771,0.26655107951627705,-1.676826485577166,1.377096152062678,True,False,1.0,two-sided,3.343064447017527e-10,bonf,1.7482927560741337
,,,,,4.692925593266626e-10,,,,,,,PostHoc_All,phase,VO2,WanT,-0.07094615076171563,0.4331556598039832,-1.676826485577166,1.377096152062678,True,False,42.0,two-sided,2.815755355959976e-09,bonf,1.5626183846208288
,,,,,6.534899414840058e-11,,,,,,,PostHoc_Sig,phase,CD,ST,-0.7609620539353128,0.6040625712746159,0.0688944683878771,0.26655107951627705,True,False,4.0,two-sided,3.920939648904035e-10,bonf,-1.7655481438167828
,,,,,1.6896940244331517e-08,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.7609620539353128,0.6040625712746159,-0.07094615076171563,0.4331556598039832,True,False,116.0,two-sided,1.0138164146598911e-07,bonf,-1.303999260898392
,,,,,1.1014114111529503e-09,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.7609620539353128,0.6040625712746159,-1.676826485577166,1.377096152062678,True,False,59.0,two-sided,6.608468466917701e-09,bonf,0.8555471490280917
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.0688944683878771,0.26655107951627705,-1.676826485577166,1.377096152062678,True,False,1.0,two-sided,3.343064447017527e-10,bonf,1.7482927560741337
,,,,,4.692925593266626e-10,,,,,,,PostHoc_Sig,phase,VO2,WanT,-0.07094615076171563,0.4331556598039832,-1.676826485577166,1.377096152062678,True,False,42.0,two-sided,2.815755355959976e-09,bonf,1.5626183846208288
