var,p,C0_mean,C1_mean,C2_mean
age,0.6005327425689149,36.476190476190474,39.42307692307692,39.166666666666664
Height_cm,0.23598467396810216,174.74761904761903,175.4653846153846,179.11666666666667
Weight_kg,0.5788263375398839,73.26904761904763,76.09038461538462,76.99583333333332
BMI,0.784220438212565,23.911538048657736,24.647289192046365,23.896207634764465
Fat_Percent,0.3017562120170496,15.69428571428572,17.534615384615385,17.775
Years_Cycling,0.458997848658367,6.714285714285714,8.038461538461538,9.083333333333334
Vo2max,0.31365007015107177,50.100000000000016,48.357692307692304,50.916666666666664
WanT,0.5442073868304593,732.7619047619048,721.0384615384615,807.5
vas,0.008184299947953106,1.880952380952381,3.9423076923076925,2.1666666666666665
pain_bulian,0.12099180232522411,0.5238095238095238,0.8076923076923077,0.6666666666666666
