var,p,C0_mean,C1_mean
age,0.8684408216562713,38.166666666666664,39.0
Height_cm,0.2163333823028839,175.4125,178.3090909090909
Weight_kg,0.7777761743627549,75.18333333333334,75.64999999999999
BMI,0.5019305012876647,24.353023106186573,23.70738186683964
Fat_Percent,0.6542357311598084,16.7975,17.500000000000004
Years_Cycling,0.9844178986791333,7.6875,8.181818181818182
Vo2max,0.26305196358516203,49.208333333333336,50.76363636363636
WanT,0.37059879986333644,727.5,809.5454545454545
vas,0.4451417016801028,2.9583333333333335,2.3636363636363638
pain_bulian,0.7093765014403288,0.6666666666666666,0.7272727272727273
