Time (s),Period,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL,angle sagital,angle frontal,angle horzintal
240.9996,Second_threshold,1.747466801657272,2.068929383488309,1.085490347713306,1.377890838482705,5.189007776965852,3.422946513769304,1.388016822500301,1.875149333504104,5.0,0.0,0.0
241.9994,Second_threshold,1.631738969752855,2.088639925050579,1.081486628720689,1.46688038743756,5.332456882904216,3.744508801180162,1.537787020955874,1.952934203428531,0.0,0.0,0.0
242.9992,Second_threshold,1.58753843714931,2.050994103969682,1.13859676199234,1.298491778132968,2.902109446162918,2.821053334455929,1.269635138999183,2.050739870635617,10.0,0.0,0.0
243.9998,Second_threshold,1.484764469184511,1.734824892368596,1.067367504456588,1.506891267311479,3.019414745432152,3.169515879127546,1.311803634863626,1.694165782160984,10.0,0.0,0.0
244.9996,Second_threshold,1.837030990700139,2.100638314066142,1.469989180527753,2.105000552949837,3.533735129054372,3.8699936831628,2.200421091222716,2.851955885122883,15.0,10.0,0.0
245.9994,Second_threshold,2.070616061581771,2.180975940456048,1.274264693359103,2.109241214993455,2.904460806539333,3.257794930716093,2.439383929881733,5.457234313962802,15.0,10.0,0.0
246.9992,Second_threshold,1.762495530083677,2.081487222397522,1.272968618749382,2.423672670331181,3.040189719449962,3.0785279841066,1.424566385096153,3.726409814710636,15.0,10.0,0.0
247.9998,Second_threshold,1.737444930039251,1.987114097920561,1.254208818378911,2.295152195399776,2.931431424737769,3.135897704383867,1.307791940767269,2.339686579384181,15.0,10.0,0.0
248.9996,Second_threshold,1.641520366315903,2.041280496964035,1.291350544697893,2.038267239033911,2.598032928083574,2.960598361618734,1.335962336329848,1.891323469160747,15.0,10.0,0.0
249.9993,Second_threshold,1.536614509084925,1.93710617809273,1.30675518585885,2.171531330806113,2.816275762490497,2.89986405995995,1.274261558326973,2.425083777597427,15.0,10.0,0.0
250.9999,Second_threshold,1.60131975203054,1.952964180014263,1.290978565905884,2.450507552913898,3.131775538851045,3.201363170272723,1.500237533145876,3.133895248590228,15.0,10.0,0.0
251.9997,Second_threshold,1.519951808161834,1.904304425935159,1.149656424154603,1.989450496383552,3.006417563566579,3.276893265579813,1.501549410170709,2.401800312358072,15.0,10.0,0.0
252.9995,Second_threshold,1.565970929633869,2.187441621009042,1.181679677256636,2.19007131268414,2.951461452401338,3.039049675702595,1.169209666565067,1.901589421860084,15.0,10.0,0.0
253.9993,Second_threshold,1.596017270848308,1.934275677568443,1.341670604561619,2.00582067841707,3.206328979585964,3.271509592470022,1.435642374382715,2.218065561583829,15.0,10.0,0.0
254.9999,Second_threshold,1.537638311067375,1.936046786138194,1.236783782207891,2.331530344846972,2.968280608168999,3.53185345119741,1.333336871710525,1.836721762523943,15.0,10.0,0.0
255.9997,Second_threshold,1.696316413038016,2.115248379067924,1.614162745627035,2.248500188956781,2.558932737218806,2.88286807910712,1.204377865420385,1.878161475090733,15.0,10.0,0.0
256.9995,Second_threshold,1.749787396339269,2.169169583330606,1.435875024656155,2.20268468355086,3.162962177618487,3.530617685971113,1.397764685025433,1.978400660229227,15.0,10.0,0.0
257.9993,Second_threshold,1.767925194918672,2.053549200194965,1.483686889641724,1.748942018136235,2.815158885648591,3.002713583963039,1.216835490563507,2.257435755547064,15.0,10.0,0.0
258.9999,Second_threshold,1.611936103541636,1.996838264123795,1.357608536790982,1.676804182653484,3.007886570762255,3.112442472804734,1.454155327045007,2.289623864627005,15.0,10.0,0.0
259.9997,Second_threshold,1.596630983204886,2.226169465379483,1.359666982900327,2.080568652718405,2.882421498324808,3.346760562197681,1.729677998568429,3.814597229014232,15.0,10.0,0.0
