"Subject","Phase","File_Exists","Has_Data","Rows"
603,"WanT",TRUE,TRUE,51
604,"Warmup",TRUE,TRUE,71
604,"CoolDown",TRUE,TRUE,67
604,"Second_Threshold",TRUE,TRUE,60
604,"VO2max",TRUE,TRUE,60
604,"WanT",TRUE,TRUE,51
605,"Warmup",TRUE,TRUE,67
605,"CoolDown",TRUE,TRUE,67
605,"Second_Threshold",TRUE,TRUE,60
605,"VO2max",TRUE,TRUE,37
605,"WanT",TRUE,TRUE,55
606,"Warmup",TRUE,TRUE,70
606,"CoolDown",TRUE,TRUE,67
606,"Second_Threshold",TRUE,TRUE,60
606,"VO2max",TRUE,TRUE,60
606,"WanT",TRUE,TRUE,51
607,"Warmup",TRUE,TRUE,68
607,"CoolDown",TRUE,TRUE,67
607,"Second_Threshold",TRUE,TRUE,60
607,"VO2max",TRUE,TRUE,34
607,"WanT",TRUE,TRUE,59
608,"Warmup",TRUE,TRUE,67
608,"CoolDown",TRUE,TRUE,70
608,"Second_Threshold",TRUE,TRUE,60
608,"VO2max",TRUE,TRUE,14
608,"WanT",TRUE,TRUE,59
609,"Warmup",TRUE,TRUE,67
609,"CoolDown",TRUE,TRUE,63
609,"Second_Threshold",TRUE,TRUE,60
609,"VO2max",TRUE,TRUE,60
609,"WanT",TRUE,TRUE,41
610,"Warmup",TRUE,TRUE,79
610,"CoolDown",TRUE,TRUE,68
610,"Second_Threshold",TRUE,TRUE,60
610,"VO2max",TRUE,TRUE,13
610,"WanT",TRUE,TRUE,63
611,"Warmup",TRUE,TRUE,72
611,"CoolDown",TRUE,TRUE,76
611,"Second_Threshold",TRUE,TRUE,60
611,"VO2max",TRUE,TRUE,17
611,"WanT",TRUE,TRUE,42
612,"Warmup",TRUE,TRUE,67
612,"CoolDown",TRUE,TRUE,67
612,"Second_Threshold",TRUE,TRUE,60
612,"VO2max",TRUE,TRUE,35
612,"WanT",TRUE,TRUE,59
613,"Warmup",TRUE,TRUE,67
613,"CoolDown",TRUE,TRUE,67
613,"Second_Threshold",TRUE,TRUE,60
613,"VO2max",TRUE,TRUE,60
613,"WanT",TRUE,TRUE,42
614,"Warmup",TRUE,TRUE,85
614,"CoolDown",TRUE,TRUE,67
614,"Second_Threshold",TRUE,TRUE,60
614,"VO2max",TRUE,TRUE,41
614,"WanT",TRUE,TRUE,63
615,"Warmup",TRUE,TRUE,67
615,"CoolDown",TRUE,TRUE,67
615,"Second_Threshold",TRUE,TRUE,60
615,"VO2max",TRUE,TRUE,39
615,"WanT",TRUE,TRUE,59
616,"Warmup",TRUE,TRUE,67
616,"CoolDown",TRUE,TRUE,67
616,"Second_Threshold",TRUE,TRUE,60
616,"VO2max",TRUE,TRUE,60
616,"WanT",TRUE,TRUE,63
617,"Warmup",TRUE,TRUE,67
617,"CoolDown",TRUE,TRUE,67
617,"Second_Threshold",TRUE,TRUE,60
617,"VO2max",TRUE,TRUE,36
617,"WanT",TRUE,TRUE,51
618,"Warmup",TRUE,TRUE,67
618,"CoolDown",TRUE,TRUE,84
618,"Second_Threshold",TRUE,TRUE,60
618,"VO2max",TRUE,TRUE,15
618,"WanT",TRUE,TRUE,63
619,"Warmup",TRUE,TRUE,40
