"Subject","Phase","Min_Time","Max_Time","Duration","N_Rows"
595,"CoolDown",0.9997941,72.99926,71.9994659,73
595,"Second_Threshold",240.9996,299.9994,58.9998,60
595,"VO2max",540.9998,599.9996,58.9997999999999,60
595,"WanT",0.9997941,66.9997,65.9999059,67
596,"Warmup",0.9997941,66.9997,65.9999059,67
596,"CoolDown",0.9997941,66.9997,65.9999059,67
596,"Second_Threshold",420.9999,479.9996,58.9997,60
596,"VO2max",620.9992,679.9998,59.0006000000001,60
596,"WanT",0.9997941,62.99973,61.9999359,63
597,"Warmup",0.9997941,58.99976,57.9999659,59
597,"CoolDown",0.9997941,118.9993,117.9995059,119
597,"Second_Threshold",300.9992,359.9997,59.0005,60
597,"VO2max",540.9998,599.9996,58.9997999999999,60
598,"Warmup",0.9997941,66.9997,65.9999059,67
598,"CoolDown",0.9997941,75.99944,74.9996459,76
598,"Second_Threshold",360.9995,419.9993,58.9998,60
598,"VO2max",620.9992,679.9998,59.0006000000001,60
598,"WanT",0.9997941,34.99994,34.0001459,35
600,"Warmup",0.9997941,70.99967,69.9998759,71
600,"CoolDown",0.9997941,66.9997,65.9999059,67
600,"Second_Threshold",60.99935,119.9999,59.00055,60
600,"VO2max",330.9994,389.9999,59.0005,60
600,"WanT",0.9997941,50.99982,50.0000259,51
601,"Warmup",0.9997941,74.99965,73.9998559,75
601,"CoolDown",0.9997941,68.99929,67.9994959,69
601,"Second_Threshold",540.9998,599.9996,58.9997999999999,60
601,"VO2max",720.9993,759.9999,39.0006000000001,40
601,"WanT",0.9997941,58.99976,57.9999659,59
602,"Warmup",0.9997941,71.99947,70.9996759,72
602,"CoolDown",0.9997941,74.99965,73.9998559,75
602,"Second_Threshold",420.9999,479.9996,58.9997,60
602,"VO2max",540.9998,568.9996,27.9997999999999,29
602,"WanT",0.9997941,40.9995,39.9997059,41
603,"Warmup",0.9997941,71.99947,70.9996759,72
603,"CoolDown",0.9997941,75.99944,74.9996459,76
603,"Second_Threshold",480.9994,539.9992,58.9998,60
603,"VO2max",660.9997,719.9995,58.9998000000001,60
603,"WanT",0.9997941,50.99982,50.0000259,51
604,"Warmup",0.9997941,70.99967,69.9998759,71
604,"CoolDown",0.9997941,66.9997,65.9999059,67
604,"Second_Threshold",540.9998,599.9996,58.9997999999999,60
604,"VO2max",660.9997,719.9995,58.9998000000001,60
604,"WanT",0.9997941,50.99982,50.0000259,51
605,"Warmup",0.9997941,66.9997,65.9999059,67
605,"CoolDown",0.9997941,66.9997,65.9999059,67
605,"Second_Threshold",360.9995,419.9993,58.9998,60
605,"VO2max",600.9993,636.9999,36.0006000000001,37
605,"WanT",0.9997941,54.99979,53.9999959,55
606,"Warmup",0.9997941,69.99988,69.0000859,70
606,"CoolDown",0.9997941,66.9997,65.9999059,67
606,"Second_Threshold",240.9996,299.9994,58.9998,60
606,"VO2max",300.9992,359.9997,59.0005,60
606,"WanT",0.9997941,50.99982,50.0000259,51
607,"Warmup",0.9997941,67.9995,66.9997059,68
607,"CoolDown",0.9997941,66.9997,65.9999059,67
607,"Second_Threshold",360.9995,419.9993,58.9998,60
607,"VO2max",660.9997,693.9993,32.9996,34
607,"WanT",0.9997941,58.99976,57.9999659,59
608,"Warmup",0.9997941,66.9997,65.9999059,67
608,"CoolDown",0.9997941,69.99988,69.0000859,70
608,"Second_Threshold",240.9996,299.9994,58.9998,60
608,"VO2max",360.9995,373.9992,12.9997,14
608,"WanT",0.9997941,58.99976,57.9999659,59
609,"Warmup",0.9997941,66.9997,65.9999059,67
609,"CoolDown",0.9997941,62.99973,61.9999359,63
609,"Second_Threshold",480.9994,539.9992,58.9998,60
609,"VO2max",540.9998,599.9996,58.9997999999999,60
609,"WanT",0.9997941,40.9995,39.9997059,41
610,"Warmup",0.9997941,78.99962,77.9998259,79
610,"CoolDown",0.9997941,67.9995,66.9997059,68
610,"Second_Threshold",300.9992,359.9997,59.0005,60
610,"VO2max",420.9999,432.9998,11.9999,13
610,"WanT",0.9997941,62.99973,61.9999359,63
611,"Warmup",0.9997941,71.99947,70.9996759,72
611,"CoolDown",0.9997941,75.99944,74.9996459,76
611,"Second_Threshold",600.9993,659.9999,59.0006000000001,60
611,"VO2max",720.9993,736.9999,16.0006000000001,17
611,"WanT",0.9997941,41.99929,40.9994959,42
612,"Warmup",0.9997941,66.9997,65.9999059,67
612,"CoolDown",0.9997941,66.9997,65.9999059,67
612,"Second_Threshold",480.9994,539.9992,58.9998,60
612,"VO2max",540.9998,574.9999,34.0001,35
612,"WanT",0.9997941,58.99976,57.9999659,59
613,"Warmup",0.9997941,66.9997,65.9999059,67
613,"CoolDown",0.9997941,66.9997,65.9999059,67
613,"Second_Threshold",210.9994,269.9992,58.9998,60
613,"VO2max",480.9994,539.9992,58.9998,60
613,"WanT",0.9997941,41.99929,40.9994959,42
614,"Warmup",0.9997941,84.99997,84.0001759,85
614,"CoolDown",0.9997941,66.9997,65.9999059,67
614,"Second_Threshold",420.9999,479.9996,58.9997,60
614,"VO2max",600.9993,640.9998,40.0005000000001,41
614,"WanT",0.9997941,62.99973,61.9999359,63
615,"Warmup",0.9997941,66.9997,65.9999059,67
615,"CoolDown",0.9997941,66.9997,65.9999059,67
615,"Second_Threshold",300.9992,359.9997,59.0005,60
615,"VO2max",540.9998,578.9999,38.0001,39
615,"WanT",0.9997941,58.99976,57.9999659,59
616,"Warmup",0.9997941,66.9997,65.9999059,67
616,"CoolDown",0.9997941,66.9997,65.9999059,67
616,"Second_Threshold",300.9992,359.9997,59.0005,60
616,"VO2max",480.9994,539.9992,58.9998,60
616,"WanT",0.9997941,62.99973,61.9999359,63
617,"Warmup",0.9997941,66.9997,65.9999059,67
617,"CoolDown",0.9997941,66.9997,65.9999059,67
617,"Second_Threshold",420.9999,479.9996,58.9997,60
617,"VO2max",540.9998,575.9998,35,36
617,"WanT",0.9997941,50.99982,50.0000259,51
618,"Warmup",0.9997941,66.9997,65.9999059,67
618,"CoolDown",0.9997941,83.99938,82.9995859,84
618,"Second_Threshold",120.9997,179.9995,58.9998,60
618,"VO2max",660.9997,674.9992,13.9995,15
618,"WanT",0.9997941,62.99973,61.9999359,63
619,"Warmup",0.9997941,39.99971,38.9999159,40
619,"CoolDown",0.9997941,58.99976,57.9999659,59
619,"Second_Threshold",300.9992,359.9997,59.0005,60
619,"VO2max",470.9999,529.9997,58.9997999999999,60
619,"WanT",0.9997941,36.99953,35.9997359,37
620,"Warmup",0.9997941,66.9997,65.9999059,67
620,"CoolDown",0.9997941,66.9997,65.9999059,67
620,"Second_Threshold",480.9994,539.9992,58.9998,60
