Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,7268.324447965313,4,1817.0811119913283,35.1821052106873,8.56539880202724e-23,1.5525598276215996e-10,0.25371707995136444,0.40031889997084963,False,0.046289665359978596,2.778090068620167e-31
Error,11569.124890298346,224,51.64787897454619,,,,,,,,
