Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
phase,87729.10634229146,4,212,21932.276585572865,51.485148729965985,3.0173641372760296e-30,4.737790099642723e-14,0.1265668877424291,0.41763923953842375
muscle,24384.54909233253,7,371,3483.5070131903617,7.082923509314801,5.982750680639214e-08,1.264000725289063e-05,0.038717945782620576,0.6132842608442515
phase * muscle,24253.46022229445,28,1484,866.1950079390874,6.7621816316041485,4.355079078556988e-24,2.5202967351236587e-06,0.03851781926521162,0.19504803907061416
