Variable,p_value,Significant,Cluster_0_Mean,Cluster_1_Mean,Cluster_2_Mean
horiz_mean_ST,0.003722469051649196,**,-0.7903312136188485,10.61763965893904,0.11839317961770135
sag_slope_100W,0.018228197339333792,*,2.567101056435857,4.477091054776897,30.285899240724092
sag_drift_WU_CD,5.936312184217286e-08,***,13.612407164097542,-7.684994154409369,15.286004845136818
sag_peak_WU,3.0220064374131736e-05,***,7.7312168573234965,18.672551438856253,41.01984970856568
