Variable,p_value,Significant,Cluster_0_Mean,Cluster_1_Mean
horiz_mean_ST,0.0011160869507614983,**,10.16383074374728,-0.5308040819391698
sag_slope_100W,0.06015628831923183,ns,7.0806373072688205,2.28732536296656
sag_drift_WU_CD,3.893202558333818e-06,***,-5.803479006103953,12.164202522529875
sag_peak_WU,1.0425394204618171e-05,***,21.262446983767028,7.764605912909169
