DV,Grouping,n_units,n_sig
Δ%MVC,Cluster,8,3
Δ%MVC,RPE,8,2
Δ%MVC,VO2max,8,4
Δ%MVC,WanT,8,0
ΔCCI,Cluster,12,0
ΔCCI,RPE,12,3
ΔCCI,VO2max,12,0
ΔCCI,WanT,12,4
