subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_541,angle_sagittal,0.03571428571428572,0.9394082054712856,7,35.0,100.0,file
subject_560,angle_sagittal,0.43333333333333335,0.24395243588005172,9,31.25,100.0,file
subject_570,angle_sagittal,0.2,0.7040000000000001,6,55.38461538461539,100.0,file
subject_571,angle_sagittal,0.7714285714285715,0.07239650145772594,6,64.44444444444444,100.0,file
subject_572,angle_sagittal,0.699786069709222,0.005333737479247513,14,38.2716049382716,100.0,file
subject_573,angle_sagittal,-0.23076923076923078,0.4481273823153657,13,33.33333333333333,100.0,file
subject_574,angle_sagittal,0.6946232319096901,0.05588472558800706,8,51.72413793103448,100.0,file
subject_575,angle_sagittal,0.6238794669049377,0.07256576441680064,9,40.0,100.0,file
subject_577,angle_sagittal,-0.2571428571428572,0.6227871720116619,6,81.03448275862068,100.0,file
subject_578,angle_sagittal,-0.2978737164032316,0.4032038726329135,10,68.33333333333333,100.0,file
subject_579,angle_sagittal,0.813226419456676,0.0002270082587226324,15,56.94444444444444,100.0,file
subject_580,angle_sagittal,0.3537658665108649,0.2592665286763142,12,50.0,100.0,file
subject_581,angle_sagittal,-0.6,0.208,6,64.44444444444444,100.0,file
subject_582,angle_sagittal,-0.6127992914911079,0.05961019586447576,10,41.66666666666667,100.0,file
subject_583,angle_sagittal,0.5878787878787878,0.07387770688865809,10,48.14814814814815,100.0,file
subject_584,angle_sagittal,0.33516483516483514,0.2629431403593601,13,56.451612903225815,100.0,file
subject_585,angle_sagittal,0.26382354123013496,0.46140507136140835,10,45.09803921568628,100.0,file
subject_586,angle_sagittal,0.9047619047619048,0.00200827550542947,8,60.526315789473685,100.0,file
subject_587,angle_sagittal,0.642857142857143,0.11939237342741099,7,57.77777777777777,100.0,file
subject_588,angle_sagittal,0.8811188811188813,0.00015267406467669862,12,49.01960784313725,100.0,file
subject_590,angle_sagittal,-0.9384990180111028,1.8997419483619764e-05,11,54.34782608695651,100.0,file
subject_591,angle_sagittal,-0.4761904761904762,0.23293553465009806,8,60.526315789473685,100.0,file
subject_594,angle_sagittal,0.9761904761904763,3.3143960262000996e-05,8,55.10204081632652,100.0,file
subject_595,angle_sagittal,-0.5333333333333333,0.13922686754397814,9,45.16129032258064,100.0,file
subject_596,angle_sagittal,0.8424242424242423,0.0022200312259168433,10,57.14285714285714,100.0,file
subject_597,angle_sagittal,0.7575757575757575,0.01114344679969421,10,50.92592592592593,100.0,file
subject_598,angle_sagittal,-0.8598558845008637,0.0014200582889551739,10,40.56603773584906,100.0,file
subject_600,angle_sagittal,0.12613124477737828,0.7875721594074739,7,61.386138613861384,100.0,file
subject_601,angle_sagittal,0.4510262271024232,0.1638159453948524,11,54.67625899280576,100.0,file
subject_602,angle_sagittal,0.042018290340800894,0.9145268818669684,9,53.63636363636364,100.0,file
subject_603,angle_sagittal,0.7289312761251283,0.010930388075413177,11,52.51798561151079,100.0,file
subject_604,angle_sagittal,0.13483997249264842,0.6926333242322505,11,54.761904761904766,100.0,file
subject_605,angle_sagittal,-0.049999999999999996,0.8983528043506303,9,54.054054054054056,100.0,file
subject_606,angle_sagittal,0.7714285714285715,0.07239650145772594,6,60.71428571428571,100.0,file
subject_607,angle_sagittal,0.8666666666666665,0.001173538180155469,10,51.69491525423729,100.0,file
subject_608,angle_sagittal,0.39285714285714296,0.3833168704269725,7,62.5,100.0,manual
subject_609,angle_sagittal,-0.29090909090909095,0.38545696969136567,11,33.33333333333333,100.0,manual
subject_610,angle_sagittal,0.4047619047619048,0.3198886412288164,8,56.25,100.0,manual
subject_611,angle_sagittal,-0.3426573426573427,0.2755674509567803,12,45.0,100.0,manual
subject_612,angle_sagittal,0.8424242424242423,0.0022200312259168433,10,49.056603773584904,100.0,manual
subject_613,angle_sagittal,0.7999999999999999,0.2000000000000001,4,55.00000000000001,70.0,manual
subject_614,angle_sagittal,0.7272727272727273,0.011204967253592069,11,47.368421052631575,100.0,manual
subject_615,angle_sagittal,0.8787878787878788,0.0008138621117322102,10,78.04878048780488,100.0,manual
subject_616,angle_sagittal,0.9151515151515152,0.00020447240614883232,10,47.05882352941176,100.0,manual
subject_617,angle_sagittal,-0.16363636363636364,0.6514773427962428,10,52.63157894736842,100.0,manual
subject_618,angle_sagittal,0.44755244755244755,0.1445863013033476,12,48.837209302325576,100.0,manual
subject_619,angle_sagittal,0.7142857142857144,0.07134356146753763,7,52.63157894736842,84.21052631578947,manual
subject_620,angle_sagittal,0.5284751751907181,0.09467273983443365,11,53.125,100.0,manual
subject_621,angle_sagittal,0.6015187191047882,0.03853940009325887,12,42.10526315789473,100.0,manual
subject_623,angle_sagittal,0.25968176711957697,0.4406239588244011,11,47.368421052631575,100.0,manual
subject_624,angle_sagittal,-0.6028632186656164,0.017366184212913072,15,28.125,100.0,manual
subject_625,angle_sagittal,-0.657142857142857,0.007770251358668455,15,36.36363636363637,100.0,manual
subject_626,angle_sagittal,0.021015794050150385,0.948311888497252,12,46.03174603174603,100.0,file
subject_627,angle_sagittal,-0.34810374480574197,0.2941502401949894,11,42.72727272727273,100.0,file
subject_628,angle_sagittal,0.4268372033233729,0.2186166141125519,10,43.0,100.0,file
