subject,angle_plane,angle_name,power_source,slope_per_watt,slope_per_100w,slope_per_pct_wmax,slope_per_10pct_wmax,intercept,r_squared,p_value,n_minutes
subject_541,angle_sagittal,Sagittal (Flexion/Extension),file,-0.004099923722349352,-0.40999237223493523,-0.008199847444698705,-0.08199847444698705,7.282418001525553,0.006006361480700321,0.8688254628769067,7
subject_560,angle_sagittal,Sagittal (Flexion/Extension),file,0.03827919947506561,3.8279199475065613,0.06124671916010497,0.6124671916010497,6.378116797900264,0.05833024840151647,0.531279184435781,9
subject_570,angle_sagittal,Sagittal (Flexion/Extension),file,0.0021402518353312912,0.21402518353312913,0.005564654771861343,0.05564654771861342,12.012826990985968,0.00522594898720871,0.8917528056351106,6
subject_571,angle_sagittal,Sagittal (Flexion/Extension),file,0.014495192307692313,1.4495192307692313,0.04348557692307694,0.4348557692307694,-9.399358974358977,0.7160758596242468,0.03365724323164255,6
subject_572,angle_sagittal,Sagittal (Flexion/Extension),file,0.05877161383285301,5.877161383285301,0.15868335734870323,1.5868335734870322,-9.916818906957593,0.5192674534148216,0.0036441393455100514,14
subject_573,angle_sagittal,Sagittal (Flexion/Extension),file,-0.05811694131807065,-5.811694131807065,-0.19759760048144023,-1.9759760048144024,19.822873975535977,0.30447334433684026,0.05057905053467814,13
subject_574,angle_sagittal,Sagittal (Flexion/Extension),file,0.064515917897162,6.4515917897162005,0.18709616190176978,1.8709616190176979,-16.810773161238526,0.5173903751242808,0.04430628755679112,8
subject_575,angle_sagittal,Sagittal (Flexion/Extension),file,0.0013333333333333255,0.13333333333333255,0.003999999999999976,0.03999999999999976,29.68777777777778,0.4266666666666664,0.05643710222096146,9
subject_577,angle_sagittal,Sagittal (Flexion/Extension),file,-0.031030927835051538,-3.103092783505154,-0.08998969072164945,-0.8998969072164944,3.655670103092782,0.08492476991984096,0.5752465050662571,6
subject_578,angle_sagittal,Sagittal (Flexion/Extension),file,-0.00982612018725518,-0.9826120187255181,-0.029478360561765542,-0.29478360561765543,10.109080920989776,0.02135067610624873,0.6871027688019236,10
