Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,0.6799349531798484,4,0.1699837382949621,10.72717217521264,5.6758284492511287e-08,6.160754866215502e-07,0.09290291404776126,0.8254216811723589,False,0.6498380753837019,0.0052706744802676255
Error,3.549524213478632,224,0.015846090238743893,,,,,,,,
