Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
phase,1.096710876294596,4,0.274177719073649,9.631475443030952,3.2567408977123434e-07,1.4649150242769097e-06,0.07618879578359779,0.874587947789344,False,0.722394521071575,0.03500990555032989
Error,6.490440672205022,228,0.0284668450535308,,,,,,,,
