segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,480,1.9217065026373757e-05,2.318590124057874e-05,3.104943410165672e-05,1.8694113743056156e-05,4.2525063326613244e-05,4.787939258610164e-05,4.19831902651948e-05,3.6553629044758144e-05
second_threshold,481,1.7954616854511313e-05,2.2213752968477796e-05,3.28332385007193e-05,2.123606369109598e-05,5.448892540006976e-05,5.48537441406964e-05,3.8048579204874606e-05,2.9863540502091575e-05
second_threshold,482,2.0059278015807094e-05,2.5542717289894575e-05,3.232015477112613e-05,1.9799739379867087e-05,5.1596050827011476e-05,4.5563254482174825e-05,3.861277563004739e-05,4.862254322090744e-05
second_threshold,483,2.259190883100898e-05,2.6053988052730412e-05,4.248193357417506e-05,2.3472376894595718e-05,7.686321607897904e-05,6.719314511268012e-05,2.9932958531169782e-05,4.293142960551401e-05
second_threshold,484,3.389399970672205e-05,3.068444115018177e-05,2.9485473022899214e-05,1.6817882127235605e-05,4.4094017613190876e-05,4.24681283340872e-05,3.7892787882192365e-05,4.669695070810749e-05
second_threshold,485,2.5883960798078202e-05,2.522586454309329e-05,3.390964577754728e-05,1.8658377589543955e-05,4.0450873379650333e-05,4.768316191377071e-05,3.825112214485613e-05,3.880070422062226e-05
second_threshold,486,2.6944440608237014e-05,2.3260591376789804e-05,3.4462560763586244e-05,1.883374120524865e-05,5.16704947898911e-05,5.881217999300416e-05,4.5483699578900206e-05,4.306198279361186e-05
second_threshold,487,2.769609121212674e-05,3.5569516976249656e-05,4.0260940497375065e-05,1.6983256064966624e-05,4.217357391944237e-05,3.8694293931216e-05,5.0713316722570846e-05,5.035424943305587e-05
second_threshold,488,2.201683932525363e-05,2.7198538635876654e-05,3.430010239595262e-05,1.82691888778011e-05,4.305117206921171e-05,4.700946423387056e-05,4.2240346934475996e-05,5.4648697417221714e-05
second_threshold,489,2.612550479999918e-05,2.8753005149666474e-05,4.4202972755417925e-05,2.3216876632710686e-05,4.90506611501544e-05,5.0237896294561804e-05,6.065187301263327e-05,6.013610110248827e-05
second_threshold,490,2.608718763267954e-05,3.81868619851153e-05,3.5530523987864004e-05,2.3293759777256238e-05,4.515460194944701e-05,5.697308783070062e-05,5.2382246287187226e-05,6.692094764607242e-05
second_threshold,491,3.99583076871845e-05,2.4181466918170277e-05,3.678357597572593e-05,1.7488513152319085e-05,5.1679616433148176e-05,5.677390044654444e-05,5.51762079201788e-05,7.197778382266517e-05
second_threshold,492,3.649217735838803e-05,5.318434242565498e-05,4.034562312342593e-05,1.9555710387232083e-05,5.2298855585967424e-05,5.4880482689007175e-05,6.235529992060067e-05,7.071829006916405e-05
second_threshold,493,2.8103520247505054e-05,3.668673503148566e-05,3.822970016256389e-05,1.875698504126834e-05,5.006422430054543e-05,5.8570851054307224e-05,5.203403797599738e-05,7.047280994227055e-05
second_threshold,494,3.1036701425572605e-05,3.158970125669806e-05,3.763029975924513e-05,1.725170273594038e-05,4.7134523525888615e-05,4.893419298638341e-05,5.431029578350435e-05,6.545858735781109e-05
second_threshold,495,3.898481066258044e-05,2.186316393502959e-05,3.242660962704694e-05,1.8988896366337043e-05,5.2850283384680214e-05,5.559758076268974e-05,4.840750022830567e-05,4.769702773803045e-05
second_threshold,496,3.2912566077902224e-05,3.203054540969035e-05,3.728183967130245e-05,1.7063599395053027e-05,4.583675826006448e-05,4.985207142834297e-05,5.1153333879316436e-05,4.665511716850609e-05
second_threshold,497,3.480975713150369e-05,2.558407544852137e-05,3.559425880617611e-05,1.9715596278762447e-05,5.101632117693206e-05,5.252593851369952e-05,5.816546047538373e-05,6.149483938124198e-05
second_threshold,498,4.213847969366834e-05,3.2593725175382625e-05,3.561813945156911e-05,1.548955951306808e-05,5.5791453854906844e-05,6.560791867051365e-05,6.051436170097436e-05,5.658845723470405e-05
second_threshold,499,3.98413280657902e-05,2.6766951036319908e-05,3.490134411135254e-05,1.7565106900790786e-05,4.1419251188266114e-05,5.167614092525443e-05,5.198615592283265e-05,6.56869655819935e-05
second_threshold,500,4.0967247133591216e-05,2.3571243522919076e-05,3.435746767807713e-05,1.901727606007895e-05,4.7315779920781945e-05,6.246871881179521e-05,4.9358408376141894e-05,5.50521746631926e-05
second_threshold,501,3.493487995536371e-05,2.6529617565618526e-05,4.1717941275903474e-05,1.7405230002815706e-05,4.88335116508352e-05,5.9841910327072294e-05,4.1559963913872975e-05,5.810042200375512e-05
second_threshold,502,5.259621252891758e-05,3.33228924255796e-05,4.4057055937043255e-05,1.9645835524488625e-05,4.556068938285198e-05,5.457700221789951e-05,6.820555557168286e-05,5.850980701460872e-05
second_threshold,503,3.168988818250118e-05,3.6641183730306e-05,3.991025155283408e-05,2.0780499488049162e-05,5.5237963568696526e-05,6.646432218977458e-05,4.897016808442277e-05,6.088962857623121e-05
second_threshold,504,3.8340071535105736e-05,2.8604825098909385e-05,3.170260983715973e-05,1.742361987474768e-05,5.0866543848372915e-05,5.5511307630362296e-05,5.371629044481775e-05,7.097502995222017e-05
second_threshold,505,5.3881725453691695e-05,4.3413972717271814e-05,3.5891054932735944e-05,1.7560601431891687e-05,5.1619265144221745e-05,6.083955993518891e-05,5.911636941659339e-05,7.67501992629285e-05
second_threshold,506,4.730896217496288e-05,2.6805290507673505e-05,4.204104616952674e-05,1.9267443300743522e-05,5.401829593287951e-05,6.341238521568724e-05,5.524526319010522e-05,6.2678545644827e-05
second_threshold,507,4.249476507996553e-05,4.38056859500766e-05,4.026879341540676e-05,1.732118227190068e-05,4.4610480522986054e-05,5.354835918038778e-05,6.565033467567127e-05,7.047657294266909e-05
second_threshold,508,2.712864281155645e-05,4.526433348880672e-05,4.249965930721473e-05,2.4556315482402653e-05,5.311794808232595e-05,6.777326693478399e-05,6.267266559100733e-05,5.7394970313289637e-05
second_threshold,509,3.766480261364563e-05,3.4024824968800126e-05,3.477023239480982e-05,1.5035714249809046e-05,5.023387306972448e-05,5.568669449852059e-05,5.475212707991564e-05,5.294798728973881e-05
second_threshold,510,3.542902134697535e-05,3.519372684435048e-05,3.924323744656737e-05,6.398758007805552e-05,4.7410443585207643e-05,5.679551598166091e-05,7.844807362907051e-05,8.546292943487252e-05
second_threshold,511,4.228577863252385e-05,2.4953638282663163e-05,4.3704140199127976e-05,2.278895723527023e-05,0.00011195392986144619,6.873569732268458e-05,5.815729910582005e-05,5.4536884366118166e-05
second_threshold,512,3.846438408340527e-05,3.589283120030372e-05,3.706730961421821e-05,1.7963150786559817e-05,4.940623365219614e-05,5.647365764239127e-05,4.472838854371773e-05,6.683793250112307e-05
second_threshold,513,4.311830319187904e-05,3.0748642174408496e-05,3.298377715187703e-05,2.0120156604875593e-05,4.823700526281287e-05,5.7517412453615544e-05,5.592065117655667e-05,5.15347240485155e-05
second_threshold,514,2.8928707128262244e-05,4.893544125441594e-05,3.923166943981049e-05,1.7394445180909406e-05,5.8654359895107075e-05,6.821392756289965e-05,6.771713623350775e-05,6.206762139541327e-05
second_threshold,515,3.636200641572892e-05,2.862767391793256e-05,3.8957534064309344e-05,1.640301884563268e-05,5.1275049882539254e-05,5.032767785601088e-05,5.989240126682395e-05,7.483997366106973e-05
second_threshold,516,2.9714329881068717e-05,3.349610931091054e-05,3.9036684749025185e-05,2.1101285267309706e-05,5.848921003152477e-05,7.28897162773831e-05,5.59228066201737e-05,5.9585067320616996e-05
second_threshold,517,3.47377444032341e-05,2.927147248054991e-05,3.2921377764189354e-05,1.6741283862336903e-05,4.464337270806817e-05,5.858906764352779e-05,5.618696950516904e-05,7.894152249184985e-05
second_threshold,518,3.610825379125268e-05,6.396931664645933e-05,4.1185819913355546e-05,1.8434637386865384e-05,5.369042440810493e-05,6.216782566878205e-05,5.747676670420371e-05,7.014360311759358e-05
second_threshold,519,3.947232557127607e-05,3.3150873317863114e-05,4.6708927269530095e-05,1.9792740872483618e-05,5.629423985168092e-05,6.997410874116969e-05,5.654606466248834e-05,6.451539678398913e-05
second_threshold,520,3.331066176405365e-05,4.278946382959803e-05,4.1640208262609504e-05,1.9949000864178996e-05,4.4731043263391956e-05,5.9767800371297455e-05,7.645774448381387e-05,7.841192974646637e-05
second_threshold,521,6.45081584424605e-05,6.230225303248447e-05,5.433214258898573e-05,2.1636126913393834e-05,6.773975561688784e-05,8.384457519069003e-05,0.00013852935372378483,0.0001491374689808851
second_threshold,522,3.42500229657137e-05,6.0234897197088094e-05,4.818025337869867e-05,2.021281088320921e-05,5.3079467866261715e-05,4.344184815400643e-05,0.00011988030501107271,0.00014020521432953878
second_threshold,523,3.2092681179506265e-05,5.83156045527117e-05,4.6214756686350346e-05,2.2126452748604183e-05,6.37520466132106e-05,5.622559013364026e-05,0.00010569274369558159,0.00012185010615124584
second_threshold,524,3.212816977109349e-05,4.188623170057908e-05,4.6344692588024606e-05,2.2141580683971597e-05,5.343480680482012e-05,5.834501610499961e-05,0.00011435518852251131,0.00015760408203201447
second_threshold,525,3.153356334863856e-05,3.945077822315012e-05,5.5471452878763074e-05,2.24210104795775e-05,6.425377544708242e-05,6.131943146154264e-05,9.500483138766475e-05,0.00011671093310407076
second_threshold,526,3.485777020128284e-05,5.2503089950855895e-05,4.8578636382516055e-05,2.4340941813236714e-05,6.0509934027665236e-05,4.886451368374058e-05,0.00012802279171769026,0.00014156175340237362
second_threshold,527,4.342036880419452e-05,6.25254262403543e-05,4.884731817904167e-05,2.501189560093891e-05,6.852030391804476e-05,5.702253058744938e-05,0.00011846513634682996,0.0001324936198053341
second_threshold,528,3.386654817283534e-05,6.852399410353654e-05,5.5284044996102284e-05,2.6146360223105322e-05,6.641789673832514e-05,5.765442559322325e-05,0.0001243571202390834,0.00014596621244949593
second_threshold,529,3.8448064062684636e-05,6.843078408950598e-05,3.93294919569296e-05,2.1956705214933136e-05,6.142093913192601e-05,5.117434164214102e-05,0.0001305871780386902,0.00012473558644452524
