Time (s),Period,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL,angle sagital,angle frontal,angle horzintal
480.9994,Second_threshold,0.9075107139604587,5.869983376245951,0.90159252627506,0.8699115683880811,2.13819821861455,4.452377522704714,3.146358924471257,9.490398676205738,-15.0,0.0,0.0
481.9992,Second_threshold,1.314081954475621,2.446662018682655,0.9030082362792643,0.8752464926684878,1.935393461535842,4.106731300562623,2.797416823670161,10.24229695119161,-15.0,0.0,0.0
482.9998,Second_threshold,0.946424140534695,1.826651910204821,0.8586378938096676,0.914035622920513,2.022972393685849,4.68090232750668,3.101239356266843,9.661375877741639,-15.0,0.0,0.0
483.9996,Second_threshold,1.801737255784062,1.692002427464048,0.779798392350378,0.9857382431476104,1.972097907031357,4.044623726201399,3.44799860530161,8.905065794014702,-20.0,0.0,0.0
484.9994,Second_threshold,0.985508056403386,1.860996734884332,0.7999735466775908,0.7827452573355775,2.220988045630833,4.451196171325639,3.101046018147017,9.32091628415443,-15.0,0.0,0.0
485.9992,Second_threshold,1.274849804873,1.746190429216709,0.9435476880092487,0.8119793149886955,1.823622249031718,4.034956527586731,2.832420102371451,10.06124486453421,-20.0,0.0,0.0
486.9998,Second_threshold,1.006600541590427,1.806194946661556,0.9653868344484069,0.9411280596962123,2.133734786955198,4.210779429391074,3.266012852332965,9.68295309228753,-20.0,0.0,0.0
487.9996,Second_threshold,3.496205727912513,1.808389816655654,0.9382899299401801,0.8541767265479376,2.165869120400415,4.126372999561246,4.563066040844888,10.2368938841626,-20.0,0.0,0.0
488.9994,Second_threshold,0.8470093753416785,1.82681065426365,1.165299312387336,0.8525874902514172,2.461671539243106,4.789710624744705,4.817725383941062,9.364349576385823,-20.0,0.0,0.0
489.9992,Second_threshold,1.360816319569697,5.973392575801628,0.9768292892834388,0.8645795115768045,1.902246916506851,4.308793352939824,3.998579625968895,9.10004803262327,-20.0,0.0,0.0
490.9998,Second_threshold,0.8683835155450296,4.182763837835721,8.124422952383773,0.9623207415377858,1.925297455040122,4.69832560050326,3.188393330336081,10.34571079564221,-20.0,0.0,0.0
491.9995,Second_threshold,3.146486112762397,1.693484078632032,2.930045305420744,0.8579485694068821,1.923290719449104,4.142680398150102,5.468607436515064,10.17690867725656,-15.0,0.0,0.0
492.9994,Second_threshold,0.9123562581442048,1.632320734942553,1.364600265463866,0.9128701479482106,2.44378560684518,3.974720518689502,5.259279569776529,9.938772442181717,-10.0,-10.0,0.0
493.9999,Second_threshold,2.841605958334429,1.475898538005342,1.201658999270316,0.8883668539936616,2.101092102398398,4.102878695033875,5.532757257526488,9.931871819376056,-20.0,0.0,0.0
494.9997,Second_threshold,0.8048056805827767,1.491882364094066,1.046970260566898,0.8097850163320763,2.186124339886738,3.951767179819867,3.989266214653998,10.58825556242885,-20.0,0.0,0.0
495.9995,Second_threshold,2.0058134453694,1.611256266894154,1.153029205280229,0.7718813002438696,2.208981274680859,4.280674800711837,4.171253010251887,11.13810150184278,-15.0,0.0,0.0
496.9993,Second_threshold,0.8899378509202581,1.873196202315229,0.9834182684526612,0.8698703930495534,2.359120697989074,5.208473276339232,3.421942550573507,10.97596381713792,-20.0,0.0,0.0
497.9999,Second_threshold,1.040276370796356,2.7683935624693,0.980438481832901,0.8045658226003074,1.93253682818272,6.111631875064267,2.898259673188155,11.27228979210557,-20.0,0.0,0.0
498.9997,Second_threshold,0.9477420186687843,1.324650809037617,1.105337716970351,0.8922559696792554,2.329297867932202,5.12677301315663,2.372221868139659,9.487069035035429,-20.0,0.0,0.0
499.9995,Second_threshold,1.091068957553476,1.034873416857248,1.020378651320535,0.7558149588340503,1.686050093625224,4.632223703512074,2.797492586840833,8.147779348897279,-20.0,0.0,0.0
500.9993,Second_threshold,1.277292094481388,1.362233602206369,0.8597206765440562,0.876257962025843,2.213664621457551,3.846935557399727,2.762307731595361,9.491793858066748,-20.0,0.0,0.0
501.9999,Second_threshold,1.833939084701445,1.48532044858372,0.9332137843919959,0.8559125793840697,1.965731026600011,4.196578485780273,5.268061636475958,9.04331910550444,-20.0,0.0,0.0
